hv001,nonflaggedchildren,wasted,
429,9,1,0.111111111
430,19,0,0
431,11,0,0
432,12,2,0.166666667
433,11,0,0
434,12,0,0
435,12,1,0.083333333
436,17,2,0.117647059
437,19,0,0
438,14,2,0.142857143
439,16,4,0.25
440,10,1,0.1
441,7,5,0.714285714
442,10,3,0.3
443,14,1,0.071428571
444,8,1,0.125
445,23,5,0.217391304
446,16,4,0.25
447,27,6,0.222222222
448,11,2,0.181818182
449,14,3,0.214285714
450,18,5,0.277777778
451,26,7,0.269230769
452,9,2,0.222222222
453,7,2,0.285714286
454,13,0,0
455,8,0,0
456,4,0,0
457,10,1,0.1
458,14,2,0.142857143
459,18,5,0.277777778
460,14,0,0
461,4,0,0
462,28,4,0.142857143
463,16,1,0.0625
464,15,1,0.066666667
465,19,0,0
466,9,0,0
467,6,0,0
468,4,0,0
469,14,3,0.214285714
470,20,2,0.1
471,19,0,0
472,18,1,0.055555556
473,13,1,0.076923077
474,9,0,0
475,15,0,0
476,16,0,0
477,32,7,0.21875
478,13,1,0.076923077
479,26,3,0.115384615
480,14,4,0.285714286
481,18,2,0.111111111
482,17,5,0.294117647
483,17,4,0.235294118
484,17,0,0
485,22,3,0.136363636
486,15,1,0.066666667
487,22,3,0.136363636
489,19,2,0.105263158
490,13,1,0.076923077
491,20,1,0.05
492,19,2,0.105263158
493,19,2,0.105263158
494,10,2,0.2
495,10,0,0
496,2,0,0
497,4,1,0.25
498,8,1,0.125
499,9,0,0
500,8,0,0
501,7,0,0
502,11,1,0.090909091
503,9,0,0
504,8,0,0
505,6,0,0
506,5,0,0
507,7,0,0
508,9,0,0
509,5,0,0
510,8,0,0
511,5,0,0
512,7,0,0
513,8,0,0
514,7,0,0
515,9,0,0
516,19,2,0.105263158
517,12,0,0
518,11,1,0.090909091
519,13,1,0.076923077
520,8,0,0
521,10,0,0
522,8,1,0.125
523,11,0,0
524,11,2,0.181818182
525,9,0,0
526,15,0,0
527,5,0,0
528,10,0,0
529,5,0,0
530,11,0,0
531,9,0,0
532,4,0,0
533,5,0,0
534,2,0,0
535,5,0,0
536,5,0,0
537,8,0,0
538,11,0,0
539,12,0,0
540,8,0,0
541,8,0,0
542,7,0,0
543,9,1,0.111111111
544,11,0,0
545,8,0,0
546,11,0,0
547,11,1,0.090909091
548,6,0,0
549,6,0,0
550,4,0,0
551,3,0,0
552,6,1,0.166666667
553,7,0,0
554,2,0,0
555,8,1,0.125
556,8,0,0
557,17,1,0.058823529
558,11,0,0
559,15,0,0
560,11,1,0.090909091
561,16,1,0.0625
562,14,0,0
563,10,0,0
564,3,0,0
565,8,0,0
566,10,1,0.1
567,6,0,0
568,10,0,0
569,4,0,0
570,5,0,0
571,7,2,0.285714286
572,7,0,0
573,9,0,0
574,5,0,0
575,7,0,0
576,6,0,0
577,10,1,0.1
578,10,1,0.1
579,9,0,0
580,10,0,0
581,7,0,0
582,11,0,0
583,6,0,0
584,3,0,0
585,7,0,0
586,9,1,0.111111111
587,8,0,0
588,18,0,0
589,14,0,0
590,8,0,0
591,8,0,0
592,7,0,0
593,12,0,0
594,15,2,0.133333333
595,8,0,0
