hv001,nonflaggedchildren,wasted,
1457,7,1,0.142857143
1458,19,1,0.052631579
1459,13,1,0.076923077
1460,11,1,0.090909091
1461,18,0,0
1462,11,1,0.090909091
1463,6,0,0
1464,13,1,0.076923077
1465,26,0,0
1466,27,1,0.037037037
1467,15,1,0.066666667
1468,21,0,0
1469,16,0,0
1470,15,0,0
1471,9,1,0.111111111
1472,15,0,0
1473,18,0,0
1474,14,0,0
1475,18,0,0
1476,9,0,0
1477,19,0,0
1478,4,0,0
1479,12,0,0
1480,8,0,0
1481,9,0,0
1482,8,0,0
1483,9,0,0
1484,15,1,0.066666667
1485,22,1,0.045454545
1486,11,0,0
1487,15,0,0
1488,20,1,0.05
1489,20,0,0
1490,23,0,0
1491,17,0,0
1492,13,0,0
1493,19,1,0.052631579
1494,17,0,0
1495,16,0,0
1496,9,0,0
1497,14,0,0
1498,14,1,0.071428571
1499,21,0,0
1500,15,1,0.066666667
1501,19,0,0
1502,9,0,0
1503,9,0,0
1504,6,0,0
1505,26,0,0
1506,23,0,0
1507,15,1,0.066666667
1508,13,1,0.076923077
1509,13,0,0
1510,11,0,0
1511,10,0,0
1512,11,0,0
1513,15,1,0.066666667
1514,14,0,0
1515,11,0,0
1516,11,0,0
1517,15,1,0.066666667
1518,8,0,0
1519,13,1,0.076923077
1520,9,0,0
1521,14,1,0.071428571
1522,15,0,0
1523,22,1,0.045454545
1524,16,0,0
1525,17,0,0
1526,11,0,0
1527,14,0,0
1528,17,0,0
1529,17,0,0
1530,6,0,0
1531,11,1,0.090909091
1532,19,0,0
1533,25,1,0.04
1534,9,0,0
1535,11,2,0.181818182
1536,10,0,0
1537,20,1,0.05
1538,12,0,0
1539,9,1,0.111111111
1540,15,0,0
1541,28,1,0.035714286
1542,9,0,0
1543,11,1,0.090909091
1544,8,0,0
1545,10,0,0
1546,10,0,0
1547,19,0,0
1548,18,1,0.055555556
1549,24,0,0
1550,21,0,0
1551,21,0,0
1552,13,1,0.076923077
1553,28,1,0.035714286
1554,24,1,0.041666667
1555,18,0,0
1556,8,1,0.125
1557,27,0,0
1558,10,0,0
1559,15,0,0
1560,23,2,0.086956522
1561,7,0,0
1562,23,2,0.086956522
1563,15,0,0
1564,15,0,0
1565,12,0,0
1566,5,1,0.2
1567,14,0,0
1568,19,0,0
1569,18,0,0
1570,7,0,0
1571,24,0,0
1572,23,0,0
1573,29,0,0
1574,14,1,0.071428571
1575,22,0,0
1576,15,0,0
1577,14,0,0
1578,22,2,0.090909091
1579,15,1,0.066666667
1580,13,2,0.153846154
1581,9,0,0
1582,18,0,0
1583,22,0,0
1584,22,1,0.045454545
1585,13,0,0
1586,18,0,0
1587,18,0,0
1588,15,0,0
1589,33,0,0
1590,18,0,0
1591,23,0,0
1592,4,0,0
1593,15,1,0.066666667
1594,21,3,0.142857143
1595,18,0,0
1596,24,0,0
1597,12,0,0
1598,14,0,0
1599,14,0,0
1600,17,0,0
1601,14,0,0
1602,14,0,0
1603,5,0,0
1604,22,2,0.090909091
1605,18,0,0
1606,6,0,0
1607,24,1,0.041666667
1608,12,1,0.083333333
1609,16,0,0
1610,16,0,0
1611,12,2,0.166666667
1612,11,0,0
,20576,1130,0.048195413
