Definition,Proportion of the population with access to improved sanitation facility,,,,,,
Denominator,All dejure population (hv012),,,,,,
Numerator,"Number of dejure population (by residence) with access to improved sanitation facility: flush to piped sewer system, spetic tank, pit latrine or unknown destination; ventilated pit latrine, pit latrine with slab, composting toilet (hv205",,,,,,
,,,,,,,
Average,0.672972006,,Weighted national average=71.6,,,,StatCompiler=66.6
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
hv001,Relevantpop,improvedsanitation,,,,,
1540,24,5,0.208333333,,,,
1541,21,13,0.619047619,,,,
1542,22,18,0.818181818,,,,
1543,24,7,0.291666667,,,,
1544,20,10,0.5,,,,
1545,20,10,0.5,,,,
1546,22,18,0.818181818,,,,
1547,21,10,0.476190476,,,,
1548,23,19,0.826086957,,,,
1549,25,2,0.08,,,,
1550,23,21,0.913043478,,,,
1551,22,18,0.818181818,,,,
1552,25,7,0.28,,,,
1553,22,15,0.681818182,,,,
1554,22,6,0.272727273,,,,
1555,22,22,1,,,,
1556,23,19,0.826086957,,,,
1557,23,21,0.913043478,,,,
1558,25,6,0.24,,,,
1559,24,10,0.416666667,,,,
1560,23,8,0.347826087,,,,
1561,23,11,0.47826087,,,,
1562,24,5,0.208333333,,,,
1563,23,6,0.260869565,,,,
1564,23,7,0.304347826,,,,
1565,20,18,0.9,,,,
1566,22,4,0.181818182,,,,
1567,21,10,0.476190476,,,,
1568,20,12,0.6,,,,
1569,22,13,0.590909091,,,,
1570,22,16,0.727272727,,,,
1571,23,13,0.565217391,,,,
1572,21,3,0.142857143,,,,
1573,22,19,0.863636364,,,,
1574,25,11,0.44,,,,
1575,25,9,0.36,,,,
1576,21,19,0.904761905,,,,
1577,24,10,0.416666667,,,,
1578,19,15,0.789473684,,,,
1579,22,16,0.727272727,,,,
1580,24,10,0.416666667,,,,
1581,18,17,0.944444444,,,,
1582,23,7,0.304347826,,,,
1583,24,3,0.125,,,,
1584,21,15,0.714285714,,,,
1585,18,14,0.777777778,,,,
1586,19,18,0.947368421,,,,
1587,19,15,0.789473684,,,,
1588,25,8,0.32,,,,
1589,21,15,0.714285714,,,,
1590,23,5,0.217391304,,,,
1591,23,11,0.47826087,,,,
1592,25,10,0.4,,,,
1593,25,10,0.4,,,,
1594,24,2,0.083333333,,,,
1595,25,10,0.4,,,,
1596,24,6,0.25,,,,
1597,20,16,0.8,,,,
1598,23,6,0.260869565,,,,
1599,23,13,0.565217391,,,,
1600,23,14,0.608695652,,,,
1601,20,14,0.7,,,,
1602,23,12,0.52173913,,,,
1603,22,14,0.636363636,,,,
1604,25,9,0.36,,,,
1605,25,21,0.84,,,,
1606,24,9,0.375,,,,
1607,25,8,0.32,,,,
1608,24,12,0.5,,,,
1609,24,10,0.416666667,,,,
1610,25,6,0.24,,,,
1611,25,9,0.36,,,,
1612,25,18,0.72,,,,
1613,22,5,0.227272727,,,,
1614,25,8,0.32,,,,
1615,22,18,0.818181818,,,,
1616,22,18,0.818181818,,,,
1617,22,7,0.318181818,,,,
1618,24,5,0.208333333,,,,
1619,22,5,0.227272727,,,,
1620,22,12,0.545454545,,,,
1621,23,3,0.130434783,,,,
1622,24,6,0.25,,,,
1623,25,12,0.48,,,,
1624,25,6,0.24,,,,
1625,25,11,0.44,,,,
1626,24,20,0.833333333,,,,
1627,23,8,0.347826087,,,,
1628,25,4,0.16,,,,
1629,17,12,0.705882353,,,,
1630,21,15,0.714285714,,,,
1631,23,12,0.52173913,,,,
1632,22,11,0.5,,,,
1633,25,6,0.24,,,,
1634,25,10,0.4,,,,
1635,20,14,0.7,,,,
1636,19,19,1,,,,
1637,21,20,0.952380952,,,,
1638,23,23,1,,,,
1639,23,21,0.913043478,,,,
1640,20,20,1,,,,
1641,20,20,1,,,,
1642,20,19,0.95,,,,
1643,21,21,1,,,,
1644,20,20,1,,,,
1645,22,22,1,,,,
1646,22,22,1,,,,
1647,24,21,0.875,,,,
1648,21,9,0.428571429,,,,
1649,18,18,1,,,,
1650,23,23,1,,,,
1651,23,23,1,,,,
1652,17,16,0.941176471,,,,
1653,17,17,1,,,,
1654,15,15,1,,,,
1655,21,21,1,,,,
1656,18,11,0.611111111,,,,
1657,20,20,1,,,,
1658,20,20,1,,,,
1659,14,14,1,,,,
1660,17,17,1,,,,
