hv001,nonflaggedchildren,stuntedchildren,
1264,10,1,0.1
1265,12,2,0.166666667
1266,16,3,0.1875
1267,16,2,0.125
1268,27,12,0.444444444
1269,30,7,0.233333333
1270,21,10,0.476190476
1272,14,4,0.285714286
1273,10,1,0.1
1274,10,0,0
1275,6,2,0.333333333
1276,15,2,0.133333333
1277,9,1,0.111111111
1278,8,3,0.375
1279,8,0,0
1280,27,12,0.444444444
1281,9,1,0.111111111
1282,8,0,0
1283,12,1,0.083333333
1284,12,3,0.25
1285,11,3,0.272727273
1286,9,1,0.111111111
1287,4,0,0
1288,5,0,0
1289,4,1,0.25
1290,11,2,0.181818182
1291,14,8,0.571428571
1292,35,10,0.285714286
1293,11,5,0.454545455
1294,12,5,0.416666667
1295,11,3,0.272727273
1296,14,4,0.285714286
1297,22,8,0.363636364
1298,17,6,0.352941176
1299,11,3,0.272727273
1300,18,5,0.277777778
1301,12,2,0.166666667
1302,15,5,0.333333333
1303,5,0,0
1304,6,1,0.166666667
1305,8,1,0.125
1306,12,1,0.083333333
1307,8,0,0
1308,8,1,0.125
1309,12,0,0
1310,6,1,0.166666667
1311,8,2,0.25
1312,3,0,0
1313,10,6,0.6
1314,13,3,0.230769231
1315,14,6,0.428571429
1316,6,2,0.333333333
1317,11,3,0.272727273
1318,7,4,0.571428571
1319,11,5,0.454545455
1320,9,3,0.333333333
1321,11,0,0
1322,11,7,0.636363636
1323,9,2,0.222222222
1324,26,5,0.192307692
1325,15,2,0.133333333
1326,7,1,0.142857143
1327,11,3,0.272727273
1328,2,0,0
1329,13,6,0.461538462
1330,14,6,0.428571429
1331,11,3,0.272727273
1332,18,10,0.555555556
1333,21,9,0.428571429
1334,18,6,0.333333333
1335,12,3,0.25
1336,12,2,0.166666667
1337,17,5,0.294117647
1338,6,1,0.166666667
1339,20,9,0.45
1340,21,5,0.238095238
1341,26,12,0.461538462
1342,7,0,0
1343,14,1,0.071428571
1344,10,2,0.2
1345,8,2,0.25
1346,7,1,0.142857143
1347,10,6,0.6
1348,32,10,0.3125
1349,26,7,0.269230769
1350,23,15,0.652173913
1351,6,1,0.166666667
1352,26,18,0.692307692
1353,27,12,0.444444444
1354,23,8,0.347826087
1355,16,5,0.3125
1356,17,2,0.117647059
1357,19,3,0.157894737
1358,13,6,0.461538462
1359,10,1,0.1
1360,25,8,0.32
1361,27,9,0.333333333
1362,27,14,0.518518519
1363,15,6,0.4
1364,28,9,0.321428571
1365,31,16,0.516129032
1366,20,3,0.15
1367,13,2,0.153846154
1368,9,0,0
1369,16,1,0.0625
1370,21,8,0.380952381
1371,20,9,0.45
1372,37,7,0.189189189
1373,16,7,0.4375
1374,32,13,0.40625
1375,21,3,0.142857143
1376,19,4,0.210526316
1377,17,0,0
1378,28,8,0.285714286
1379,8,0,0
1380,8,1,0.125
1381,15,5,0.333333333
1382,25,9,0.36
1383,20,10,0.5
1384,20,2,0.1
1385,8,2,0.25
1386,15,4,0.266666667
1387,17,0,0
1388,20,6,0.3
1389,7,2,0.285714286
1390,9,0,0
1391,9,2,0.222222222
1392,7,1,0.142857143
1393,9,1,0.111111111
1394,20,3,0.15
1395,19,3,0.157894737
1396,13,3,0.230769231
1397,5,0,0
1398,6,1,0.166666667
1399,12,1,0.083333333
1400,7,0,0
1401,6,1,0.166666667
1402,15,1,0.066666667
1403,11,4,0.363636364
1404,8,1,0.125
1405,4,0,0
1406,9,0,0
1407,11,2,0.181818182
1408,7,1,0.142857143
1409,11,2,0.181818182
1410,7,1,0.142857143
1411,14,6,0.428571429
1412,15,5,0.333333333
1413,7,2,0.285714286
1414,4,0,0
1415,12,2,0.166666667
1416,11,5,0.454545455
1417,9,2,0.222222222
1418,7,2,0.285714286
1419,12,2,0.166666667
1420,8,0,0
1421,12,6,0.5
1422,9,4,0.444444444
1423,12,2,0.166666667
1424,11,2,0.181818182
1425,16,5,0.3125
1426,6,1,0.166666667
1427,21,6,0.285714286
1428,11,4,0.363636364
1429,15,8,0.533333333
1430,16,4,0.25
1431,10,0,0
1432,10,3,0.3
1433,23,7,0.304347826
1434,7,3,0.428571429
1435,12,2,0.166666667
1436,15,7,0.466666667
1437,13,4,0.307692308
1438,19,5,0.263157895
1439,11,3,0.272727273
1440,18,6,0.333333333
1441,7,1,0.142857143
1442,13,3,0.230769231
1443,16,5,0.3125
1444,7,2,0.285714286
1445,22,8,0.363636364
1446,3,2,0.666666667
1447,18,6,0.333333333
1448,16,6,0.375
1449,12,6,0.5
1450,17,5,0.294117647
1451,5,0,0
1452,7,3,0.428571429
1453,18,9,0.5
1454,12,4,0.333333333
1455,16,4,0.25
1456,25,6,0.24
1457,7,5,0.714285714
1458,19,4,0.210526316
1459,13,4,0.307692308
1460,11,3,0.272727273
1461,18,5,0.277777778
1462,11,2,0.181818182
1463,6,1,0.166666667
1464,13,2,0.153846154
1465,26,11,0.423076923
1466,27,10,0.37037037
1467,15,9,0.6
1468,21,10,0.476190476
1469,16,4,0.25
1470,15,10,0.666666667
1471,9,3,0.333333333
1472,15,3,0.2
1473,18,3,0.166666667
1474,14,8,0.571428571
1475,18,8,0.444444444
1476,9,0,0
1477,19,5,0.263157895
1478,4,0,0
1479,12,2,0.166666667
1480,8,0,0
1481,9,0,0
1482,8,0,0
1483,9,3,0.333333333
1484,15,2,0.133333333
1485,22,8,0.363636364
1486,11,2,0.181818182
1487,15,1,0.066666667
1488,20,7,0.35
1489,20,11,0.55
1490,23,9,0.391304348
1491,17,5,0.294117647
1492,13,4,0.307692308
1493,19,5,0.263157895
1494,17,3,0.176470588
1495,16,6,0.375
1496,9,1,0.111111111
1497,14,3,0.214285714
1498,14,4,0.285714286
1499,21,7,0.333333333
1500,15,5,0.333333333
1501,19,5,0.263157895
1502,9,2,0.222222222
1503,9,1,0.111111111
1504,6,0,0
1505,26,9,0.346153846
1506,23,6,0.260869565
1507,15,3,0.2
1508,13,4,0.307692308
1509,13,3,0.230769231
1510,11,3,0.272727273
1511,10,3,0.3
1512,11,2,0.181818182
1513,15,2,0.133333333
1514,14,1,0.071428571
1515,11,4,0.363636364
1516,11,1,0.090909091
1517,15,2,0.133333333
1518,8,1,0.125
1519,13,6,0.461538462
1520,9,2,0.222222222
1521,14,4,0.285714286
1522,15,3,0.2
1523,22,3,0.136363636
1524,16,5,0.3125
1525,17,4,0.235294118
1526,11,5,0.454545455
1527,14,1,0.071428571
1528,17,4,0.235294118
1529,17,4,0.235294118
1530,6,0,0
1531,11,4,0.363636364
1532,19,4,0.210526316
1533,25,9,0.36
1534,9,5,0.555555556
1535,11,1,0.090909091
1536,10,1,0.1
1537,20,4,0.2
1538,12,4,0.333333333
1539,9,3,0.333333333
1540,15,3,0.2
1541,28,9,0.321428571
1542,9,3,0.333333333
1543,11,5,0.454545455
1544,8,0,0
1545,10,1,0.1
1546,9,0,0
1547,18,2,0.111111111
1548,18,3,0.166666667
1549,24,1,0.041666667
1550,21,9,0.428571429
1551,21,3,0.142857143
1552,13,3,0.230769231
1553,28,4,0.142857143
1554,24,9,0.375
1555,18,3,0.166666667
1556,8,5,0.625
1557,27,6,0.222222222
1558,10,2,0.2
1559,15,4,0.266666667
1560,23,6,0.260869565
1561,7,2,0.285714286
1562,23,8,0.347826087
1563,15,8,0.533333333
1564,14,6,0.428571429
1565,12,0,0
1566,5,1,0.2
1567,14,5,0.357142857
1568,19,5,0.263157895
1569,18,5,0.277777778
1570,7,2,0.285714286
1571,24,6,0.25
1572,23,4,0.173913043
1573,29,6,0.206896552
1574,14,8,0.571428571
1575,22,5,0.227272727
1576,15,3,0.2
1577,13,6,0.461538462
1578,21,11,0.523809524
1579,15,7,0.466666667
1580,13,1,0.076923077
1581,9,4,0.444444444
1582,18,3,0.166666667
1583,22,5,0.227272727
1584,21,8,0.380952381
1585,13,3,0.230769231
1586,18,2,0.111111111
1587,18,4,0.222222222
1588,15,5,0.333333333
1589,33,7,0.212121212
1590,18,3,0.166666667
1591,23,4,0.173913043
1592,4,0,0
1593,15,4,0.266666667
1594,21,3,0.142857143
1595,18,4,0.222222222
1596,24,10,0.416666667
1597,12,2,0.166666667
1598,14,3,0.214285714
1599,14,1,0.071428571
1600,17,1,0.058823529
1601,14,1,0.071428571
1602,14,5,0.357142857
1603,5,1,0.2
1604,22,8,0.363636364
1605,18,5,0.277777778
1606,5,1,0.2
1607,24,8,0.333333333
1608,12,4,0.333333333
1609,16,4,0.25
1610,16,3,0.1875
1611,12,3,0.25
1612,11,3,0.272727273
,20524,5585,0.25344493
