hv001,nonflaggedchildren,stuntedchildren,
701,9,1,0.111111111
702,21,1,0.047619048
703,15,0,0
704,24,5,0.208333333
705,12,0,0
706,14,4,0.285714286
707,25,4,0.16
708,24,4,0.166666667
709,18,2,0.111111111
710,19,1,0.052631579
712,18,5,0.277777778
713,10,2,0.2
714,20,3,0.15
715,14,1,0.071428571
716,14,3,0.214285714
717,17,6,0.352941176
718,24,4,0.166666667
719,25,3,0.12
720,21,3,0.142857143
721,8,0,0
722,13,4,0.307692308
724,24,3,0.125
726,17,5,0.294117647
727,13,1,0.076923077
728,20,7,0.35
729,24,3,0.125
730,8,0,0
731,17,2,0.117647059
732,22,3,0.136363636
733,11,3,0.272727273
734,23,6,0.260869565
735,27,6,0.222222222
736,18,1,0.055555556
737,21,3,0.142857143
738,13,1,0.076923077
739,13,1,0.076923077
741,17,5,0.294117647
742,21,2,0.095238095
743,20,4,0.2
744,22,7,0.318181818
745,31,13,0.419354839
746,6,1,0.166666667
747,17,2,0.117647059
748,16,2,0.125
749,10,2,0.2
750,23,5,0.217391304
751,23,4,0.173913043
752,18,2,0.111111111
753,24,4,0.166666667
754,26,5,0.192307692
755,20,2,0.1
756,20,3,0.15
757,20,6,0.3
760,13,5,0.384615385
761,18,12,0.666666667
762,13,3,0.230769231
764,22,6,0.272727273
766,14,7,0.5
768,10,7,0.7
769,10,9,0.9
770,24,6,0.25
771,13,4,0.307692308
772,12,5,0.416666667
773,7,4,0.571428571
774,17,7,0.411764706
775,20,6,0.3
776,16,6,0.375
777,2,1,0.5
778,7,1,0.142857143
779,16,6,0.375
780,0,0,.
781,20,6,0.3
782,1,1,1
783,11,3,0.272727273
784,18,10,0.555555556
785,15,5,0.333333333
786,4,1,0.25
787,5,2,0.4
788,12,2,0.166666667
789,15,3,0.2
790,14,5,0.357142857
791,18,4,0.222222222
792,15,1,0.066666667
793,18,2,0.111111111
794,16,8,0.5
795,9,4,0.444444444
796,15,6,0.4
797,16,8,0.5
798,14,7,0.5
799,23,11,0.47826087
801,13,5,0.384615385
802,11,2,0.181818182
803,11,2,0.181818182
804,16,7,0.4375
805,12,2,0.166666667
806,16,7,0.4375
807,6,2,0.333333333
808,23,8,0.347826087
809,22,3,0.136363636
810,13,3,0.230769231
811,17,3,0.176470588
812,13,1,0.076923077
813,15,5,0.333333333
814,13,6,0.461538462
815,15,3,0.2
816,10,3,0.3
817,14,5,0.357142857
818,9,1,0.111111111
819,13,3,0.230769231
820,18,8,0.444444444
821,11,5,0.454545455
822,18,5,0.277777778
823,14,3,0.214285714
824,10,3,0.3
825,12,2,0.166666667
826,14,2,0.142857143
827,16,6,0.375
828,6,1,0.166666667
829,11,2,0.181818182
830,11,0,0
831,9,4,0.444444444
832,22,6,0.272727273
833,17,1,0.058823529
834,14,2,0.142857143
835,13,1,0.076923077
836,10,0,0
837,10,0,0
838,9,0,0
839,6,1,0.166666667
840,15,4,0.266666667
841,8,0,0
842,7,2,0.285714286
843,17,2,0.117647059
844,11,3,0.272727273
845,5,1,0.2
846,10,1,0.1
847,13,5,0.384615385
848,11,1,0.090909091
849,9,0,0
850,15,4,0.266666667
851,16,2,0.125
852,15,2,0.133333333
853,24,9,0.375
854,10,2,0.2
855,14,2,0.142857143
856,17,3,0.176470588
857,8,0,0
858,14,2,0.142857143
859,24,8,0.333333333
860,11,2,0.181818182
861,7,0,0
862,9,0,0
863,14,2,0.142857143
864,9,3,0.333333333
865,17,5,0.294117647
866,12,3,0.25
867,7,2,0.285714286
868,20,5,0.25
869,19,7,0.368421053
870,14,5,0.357142857
871,9,2,0.222222222
872,18,6,0.333333333
873,20,5,0.25
874,16,6,0.375
875,13,3,0.230769231
876,15,4,0.266666667
877,25,10,0.4
878,25,7,0.28
879,20,9,0.45
880,17,7,0.411764706
881,19,5,0.263157895
882,8,2,0.25
883,18,7,0.388888889
