Definition: ,Percentage of live births in the five (or three) years preceding the survey whose birth weight was less than 2.5 kg,,,,,,
Denominator,Live births in the five (or three) years preceding the survey with a reported birth weight,,,,,,
,,,,,,,
Average:,0.089625952,,National Weighted Average,,8.7,Statcompiler,9
,,,,,,,
,,,,,,,
,,,,,,,
v001,birthweightreported,lowbirthweight,,,,,
114,3,0,0,,,,
115,3,0,0,,,,
116,6,0,0,,,,
117,3,0,0,,,,
118,0,0,.,,,,
119,3,0,0,,,,
120,4,1,0.25,,,,
121,0,0,.,,,,
122,1,0,0,,,,
123,1,0,0,,,,
124,1,0,0,,,,
125,0,0,.,,,,
126,3,0,0,,,,
127,5,1,0.2,,,,
128,4,0,0,,,,
129,2,0,0,,,,
130,2,0,0,,,,
131,2,0,0,,,,
132,2,0,0,,,,
133,0,0,.,,,,
134,3,0,0,,,,
135,0,0,.,,,,
136,0,0,.,,,,
137,3,0,0,,,,
138,2,0,0,,,,
139,8,1,0.125,,,,
140,1,0,0,,,,
141,5,1,0.2,,,,
142,1,0,0,,,,
143,7,1,0.142857143,,,,
144,4,0,0,,,,
145,6,0,0,,,,
146,5,0,0,,,,
147,9,2,0.222222222,,,,
148,3,0,0,,,,
149,6,1,0.166666667,,,,
150,5,1,0.2,,,,
151,5,0,0,,,,
152,3,1,0.333333333,,,,
153,3,0,0,,,,
154,3,0,0,,,,
155,3,1,0.333333333,,,,
156,2,0,0,,,,
157,1,0,0,,,,
158,4,0,0,,,,
159,0,0,.,,,,
160,3,0,0,,,,
161,7,2,0.285714286,,,,
162,2,1,0.5,,,,
163,4,1,0.25,,,,
164,3,0,0,,,,
165,6,0,0,,,,
166,1,0,0,,,,
167,3,0,0,,,,
168,2,2,1,,,,
169,5,0,0,,,,
170,1,0,0,,,,
171,6,0,0,,,,
172,7,0,0,,,,
173,7,0,0,,,,
174,5,0,0,,,,
175,8,2,0.25,,,,
176,0,0,.,,,,
177,3,0,0,,,,
178,2,0,0,,,,
179,2,0,0,,,,
180,3,0,0,,,,
181,4,1,0.25,,,,
182,4,1,0.25,,,,
183,2,0,0,,,,
184,0,0,.,,,,
185,2,0,0,,,,
186,3,0,0,,,,
187,2,0,0,,,,
188,1,0,0,,,,
189,3,0,0,,,,
190,1,0,0,,,,
191,5,0,0,,,,
192,0,0,.,,,,
193,0,0,.,,,,
194,5,1,0.2,,,,
195,1,0,0,,,,
196,5,1,0.2,,,,
197,1,0,0,,,,
198,3,0,0,,,,
199,1,0,0,,,,
200,1,0,0,,,,
201,1,0,0,,,,
202,2,1,0.5,,,,
203,3,0,0,,,,
204,2,1,0.5,,,,
205,2,0,0,,,,
206,2,1,0.5,,,,
207,1,0,0,,,,
208,1,0,0,,,,
209,3,0,0,,,,
210,3,0,0,,,,
211,0,0,.,,,,
212,5,0,0,,,,
213,0,0,.,,,,
214,3,0,0,,,,
215,0,0,.,,,,
216,2,0,0,,,,
217,0,0,.,,,,
218,4,0,0,,,,
219,0,0,.,,,,
220,6,0,0,,,,
221,3,0,0,,,,
222,3,1,0.333333333,,,,
223,1,0,0,,,,
224,5,2,0.4,,,,
225,8,0,0,,,,
226,4,0,0,,,,
227,3,0,0,,,,
228,6,1,0.166666667,,,,
229,0,0,.,,,,
230,0,0,.,,,,
231,0,0,.,,,,
232,0,0,.,,,,
233,0,0,.,,,,
234,2,0,0,,,,
235,1,0,0,,,,
236,2,0,0,,,,
237,3,0,0,,,,
238,2,0,0,,,,
239,5,0,0,,,,
240,2,0,0,,,,
