Definition: ,Percentage of youngest children under six months of age living with the mother who are exclusively breastfed,,,,,,
Denominator,Children under age 6 months,,,,,,
,,,,,,,
Average:,0.56420765,,National Weighted Average,,58.7,Statcompiler,59.9
,,,,,,,
,,,,,,,
v001,youngestchildwithmum,exclusivelybreastfed,,,,,
346,1,1,1,,,,
347,0,0,.,,,,
348,0,0,.,,,,
349,0,0,.,,,,
350,0,0,.,,,,
351,0,0,.,,,,
352,0,0,.,,,,
353,1,1,1,,,,
354,1,1,1,,,,
355,0,0,.,,,,
356,0,0,.,,,,
357,1,0,0,,,,
358,0,0,.,,,,
359,0,0,.,,,,
360,1,0,0,,,,
361,0,0,.,,,,
362,0,0,.,,,,
363,0,0,.,,,,
364,0,0,.,,,,
365,1,0,0,,,,
366,0,0,.,,,,
367,2,0,0,,,,
368,1,1,1,,,,
369,1,1,1,,,,
370,1,0,0,,,,
371,0,0,.,,,,
372,0,0,.,,,,
373,1,0,0,,,,
374,0,0,.,,,,
375,0,0,.,,,,
376,1,1,1,,,,
377,0,0,.,,,,
378,0,0,.,,,,
379,0,0,.,,,,
380,0,0,.,,,,
381,0,0,.,,,,
382,2,2,1,,,,
383,0,0,.,,,,
384,1,0,0,,,,
385,0,0,.,,,,
386,0,0,.,,,,
387,0,0,.,,,,
388,0,0,.,,,,
389,0,0,.,,,,
390,0,0,.,,,,
391,0,0,.,,,,
392,0,0,.,,,,
393,1,1,1,,,,
394,1,1,1,,,,
395,0,0,.,,,,
396,1,1,1,,,,
397,0,0,.,,,,
398,0,0,.,,,,
399,0,0,.,,,,
400,0,0,.,,,,
401,0,0,.,,,,
402,0,0,.,,,,
403,0,0,.,,,,
404,0,0,.,,,,
405,2,1,0.5,,,,
406,1,1,1,,,,
407,0,0,.,,,,
408,1,1,1,,,,
409,0,0,.,,,,
410,0,0,.,,,,
411,0,0,.,,,,
412,0,0,.,,,,
413,0,0,.,,,,
414,0,0,.,,,,
415,0,0,.,,,,
416,3,3,1,,,,
417,0,0,.,,,,
418,0,0,.,,,,
419,0,0,.,,,,
420,1,1,1,,,,
421,0,0,.,,,,
422,0,0,.,,,,
423,0,0,.,,,,
424,1,1,1,,,,
425,0,0,.,,,,
426,1,1,1,,,,
427,0,0,.,,,,
428,0,0,.,,,,
429,1,0,0,,,,
430,0,0,.,,,,
431,0,0,.,,,,
432,1,1,1,,,,
433,0,0,.,,,,
434,1,1,1,,,,
435,0,0,.,,,,
436,1,0,0,,,,
437,0,0,.,,,,
438,0,0,.,,,,
439,1,0,0,,,,
440,0,0,.,,,,
441,1,1,1,,,,
442,0,0,.,,,,
443,0,0,.,,,,
444,1,0,0,,,,
445,0,0,.,,,,
446,1,1,1,,,,
447,1,0,0,,,,
448,0,0,.,,,,
449,0,0,.,,,,
450,1,0,0,,,,
451,0,0,.,,,,
452,0,0,.,,,,
453,1,1,1,,,,
454,0,0,.,,,,
455,0,0,.,,,,
456,0,0,.,,,,
457,0,0,.,,,,
458,0,0,.,,,,
459,0,0,.,,,,
460,1,1,1,,,,
461,0,0,.,,,,
462,1,0,0,,,,
463,0,0,.,,,,
464,1,0,0,,,,
465,1,1,1,,,,
466,0,0,.,,,,
467,0,0,.,,,,
468,0,0,.,,,,
469,1,0,0,,,,
470,0,0,.,,,,
471,0,0,.,,,,
472,1,1,1,,,,
473,0,0,.,,,,
474,0,0,.,,,,
475,1,1,1,,,,
476,1,1,1,,,,
477,0,0,.,,,,
478,2,2,1,,,,
479,0,0,.,,,,
480,1,1,1,,,,
481,0,0,.,,,,
482,0,0,.,,,,
483,2,1,0.5,,,,
484,0,0,.,,,,
485,0,1,.,,,,
486,0,0,.,,,,
487,1,0,0,,,,
488,0,0,.,,,,
489,2,2,1,,,,
490,1,0,0,,,,
491,1,1,1,,,,
492,0,0,.,,,,
493,1,0,0,,,,
494,1,0,0,,,,
495,0,0,.,,,,
496,0,0,.,,,,
497,0,0,.,,,,
498,0,0,.,,,,
499,0,0,.,,,,
500,0,0,.,,,,
501,0,0,.,,,,
502,0,0,.,,,,
503,0,0,.,,,,
504,1,1,1,,,,
505,1,1,1,,,,
506,1,1,1,,,,
507,1,0,0,,,,
508,0,0,.,,,,
509,0,0,.,,,,
510,0,0,.,,,,
511,0,0,.,,,,
512,0,0,.,,,,
513,1,1,1,,,,
514,0,0,.,,,,
515,0,0,.,,,,
516,0,0,.,,,,
517,0,0,.,,,,
518,0,0,.,,,,
519,0,0,.,,,,
520,0,0,.,,,,
521,0,0,.,,,,
522,0,0,.,,,,
523,1,1,1,,,,
524,0,0,.,,,,
525,0,0,.,,,,
526,0,0,.,,,,
527,0,0,.,,,,
528,1,0,0,,,,
529,2,2,1,,,,
530,0,0,.,,,,
531,0,0,.,,,,
532,0,0,.,,,,
533,0,0,.,,,,
534,0,0,.,,,,
535,0,0,.,,,,
536,0,0,.,,,,
537,0,0,.,,,,
538,0,0,.,,,,
539,1,0,0,,,,
540,0,0,.,,,,
541,0,0,.,,,,
542,0,0,.,,,,
543,1,1,1,,,,
544,0,0,.,,,,
545,2,2,1,,,,
546,2,2,1,,,,
547,1,0,0,,,,
548,2,1,0.5,,,,
549,0,0,.,,,,
550,0,0,.,,,,
551,0,0,.,,,,
552,0,0,.,,,,
553,2,2,1,,,,
554,0,0,.,,,,
555,1,1,1,,,,
556,1,1,1,,,,
557,0,0,.,,,,
558,0,0,.,,,,
559,0,0,.,,,,
560,0,0,.,,,,
561,0,0,.,,,,
562,0,0,.,,,,
563,2,1,0.5,,,,
564,0,0,.,,,,
565,0,0,.,,,,
566,0,0,.,,,,
567,0,0,.,,,,
568,1,0,0,,,,
569,2,2,1,,,,
