v001,allteenagers,teenagepregnancy,
1488,4,0,0
1489,2,0,0
1490,5,2,0.4
1491,4,1,0.25
1492,5,0,0
1493,6,1,0.166666667
1494,4,1,0.25
1495,5,2,0.4
1496,2,0,0
1497,5,2,0.4
1498,4,1,0.25
1499,3,0,0
1500,8,1,0.125
1501,2,0,0
1502,4,2,0.5
1503,1,0,0
1504,3,0,0
1505,1,0,0
1506,2,0,0
1507,3,0,0
1508,5,3,0.6
1509,4,0,0
1510,5,2,0.4
1511,7,0,0
1512,3,0,0
1513,4,2,0.5
1514,8,1,0.125
1515,2,0,0
1516,9,0,0
1517,7,0,0
1518,3,1,0.333333333
1519,4,2,0.5
1520,4,0,0
1521,3,0,0
1522,5,1,0.2
1523,6,0,0
1524,4,2,0.5
1525,5,0,0
1526,2,0,0
1527,6,1,0.166666667
1528,8,0,0
1529,6,0,0
1530,6,0,0
1531,5,1,0.2
1532,5,3,0.6
1533,9,2,0.222222222
1534,2,0,0
1535,5,2,0.4
1536,5,0,0
1537,6,0,0
1538,8,1,0.125
1539,8,0,0
1540,7,1,0.142857143
1541,7,0,0
1542,5,1,0.2
1543,2,0,0
1544,3,1,0.333333333
1545,5,0,0
1546,0,0,.
1547,5,1,0.2
1548,3,0,0
1549,10,1,0.1
1550,8,0,0
1551,8,1,0.125
1552,7,1,0.142857143
1553,6,1,0.166666667
1554,8,1,0.125
1555,8,2,0.25
1556,2,1,0.5
1557,1,0,0
1558,5,1,0.2
1559,8,0,0
1560,6,1,0.166666667
1561,5,1,0.2
1562,6,0,0
1563,2,1,0.5
1564,3,1,0.333333333
1565,3,0,0
1566,5,1,0.2
1567,9,2,0.222222222
1568,5,1,0.2
1569,5,1,0.2
1570,2,0,0
1571,9,2,0.222222222
1572,10,3,0.3
1573,8,1,0.125
1574,6,0,0
1575,9,2,0.222222222
1576,8,0,0
1577,6,0,0
1578,4,1,0.25
1579,6,1,0.166666667
1580,5,4,0.8
1581,2,1,0.5
1582,2,0,0
1583,8,2,0.25
1584,8,2,0.25
1585,2,0,0
1586,7,1,0.142857143
1587,2,0,0
1588,5,2,0.4
1589,3,1,0.333333333
1590,5,0,0
1591,6,0,0
1592,3,0,0
1593,8,2,0.25
1594,3,2,0.666666667
1595,4,0,0
1596,4,1,0.25
1597,6,2,0.333333333
1598,4,0,0
1599,1,0,0
1600,5,2,0.4
1601,11,1,0.090909091
1602,9,3,0.333333333
1603,2,1,0.5
1604,3,1,0.333333333
1605,3,0,0
1606,2,0,0
1607,6,0,0
1608,3,1,0.333333333
1609,10,1,0.1
1610,8,2,0.25
1611,3,2,0.666666667
1612,2,0,0
,6078,1101,0.185207287
