Definition: ,Percentage of live births in the five (or three) years preceding the survey whose birth weight was less than 2.5 kg,,,,,,
Denominator,Live births in the five (or three) years preceding the survey with a reported birth weight,,,,,,
,,,,,,,
Average:,0.074455861,,National Weighted Average,,7.5,Statcompiler,7.6
,,,,,,,
,,,,,,,
,,,,,,,
v001,birthweightreported,lowbirthweight,,,,,
342,10,4,0.4,,,,
343,3,0,0,,,,
344,13,0,0,,,,
345,3,0,0,,,,
346,0,0,.,,,,
347,4,0,0,,,,
348,3,1,0.333333333,,,,
349,6,0,0,,,,
350,3,1,0.333333333,,,,
351,4,0,0,,,,
352,2,0,0,,,,
353,0,0,.,,,,
354,1,0,0,,,,
355,8,2,0.25,,,,
356,5,0,0,,,,
357,7,1,0.142857143,,,,
358,0,0,.,,,,
359,4,0,0,,,,
360,2,1,0.5,,,,
361,2,0,0,,,,
362,0,0,.,,,,
363,1,0,0,,,,
364,9,1,0.111111111,,,,
365,2,2,1,,,,
366,5,0,0,,,,
367,5,0,0,,,,
368,0,0,.,,,,
369,3,0,0,,,,
370,4,0,0,,,,
371,6,3,0.5,,,,
372,2,1,0.5,,,,
373,6,1,0.166666667,,,,
374,1,1,1,,,,
375,3,1,0.333333333,,,,
376,5,1,0.2,,,,
377,1,0,0,,,,
378,1,0,0,,,,
379,0,0,.,,,,
380,1,0,0,,,,
381,8,1,0.125,,,,
382,3,0,0,,,,
383,6,1,0.166666667,,,,
384,2,0,0,,,,
385,2,0,0,,,,
386,4,0,0,,,,
387,3,0,0,,,,
388,4,0,0,,,,
389,5,0,0,,,,
390,4,0,0,,,,
391,3,0,0,,,,
392,4,0,0,,,,
393,2,0,0,,,,
394,3,1,0.333333333,,,,
395,0,0,.,,,,
396,0,0,.,,,,
397,5,0,0,,,,
398,2,1,0.5,,,,
399,2,0,0,,,,
400,3,0,0,,,,
401,3,0,0,,,,
402,2,0,0,,,,
403,1,0,0,,,,
404,4,1,0.25,,,,
405,1,0,0,,,,
406,5,0,0,,,,
407,8,2,0.25,,,,
408,6,0,0,,,,
409,5,0,0,,,,
410,3,1,0.333333333,,,,
411,3,0,0,,,,
412,7,0,0,,,,
413,3,0,0,,,,
414,2,1,0.5,,,,
415,6,0,0,,,,
416,1,0,0,,,,
417,1,0,0,,,,
418,5,1,0.2,,,,
419,5,0,0,,,,
420,3,0,0,,,,
421,1,0,0,,,,
422,1,0,0,,,,
424,1,0,0,,,,
425,4,0,0,,,,
426,2,0,0,,,,
427,7,1,0.142857143,,,,
428,2,0,0,,,,
429,4,0,0,,,,
430,3,0,0,,,,
431,9,2,0.222222222,,,,
432,6,0,0,,,,
433,7,0,0,,,,
434,6,1,0.166666667,,,,
435,0,0,.,,,,
436,2,0,0,,,,
437,3,1,0.333333333,,,,
438,1,0,0,,,,
439,0,0,.,,,,
440,0,0,.,,,,
441,0,0,.,,,,
442,0,0,.,,,,
443,2,0,0,,,,
444,0,0,.,,,,
445,0,0,.,,,,
446,2,0,0,,,,
447,1,0,0,,,,
448,3,0,0,,,,
449,0,0,.,,,,
450,0,0,.,,,,
451,1,0,0,,,,
452,0,0,.,,,,
453,0,0,.,,,,
454,8,0,0,,,,
455,1,0,0,,,,
456,3,0,0,,,,
457,6,0,0,,,,
458,1,0,0,,,,
459,0,0,.,,,,
460,0,0,.,,,,
461,2,1,0.5,,,,
462,2,1,0.5,,,,
463,8,0,0,,,,
464,6,0,0,,,,
465,10,0,0,,,,
466,8,0,0,,,,
467,1,0,0,,,,
468,1,0,0,,,,
469,3,0,0,,,,
