hv001,Relevantpop,improvedwater,
100,24,24,1
101,24,24,1
102,23,23,1
103,21,21,1
104,24,15,0.625
105,21,21,1
106,24,24,1
107,25,25,1
108,21,21,1
109,23,23,1
110,24,15,0.625
111,23,23,1
112,25,10,0.4
113,24,19,0.791666667
114,24,24,1
115,23,2,0.086956522
116,24,24,1
117,25,17,0.68
118,25,25,1
119,24,24,1
120,25,0,0
121,25,0,0
122,24,4,0.166666667
123,24,12,0.5
124,24,23,0.958333333
125,25,17,0.68
126,23,23,1
127,22,22,1
128,22,22,1
129,24,24,1
130,24,24,1
131,23,23,1
132,18,0,0
133,21,0,0
134,22,10,0.454545455
135,25,1,0.04
136,23,3,0.130434783
137,25,25,1
138,23,10,0.434782609
139,22,20,0.909090909
140,21,21,1
141,23,13,0.565217391
142,24,11,0.458333333
143,23,19,0.826086957
144,23,13,0.565217391
145,22,22,1
146,24,21,0.875
147,24,24,1
148,20,18,0.9
149,22,17,0.772727273
150,20,20,1
151,22,22,1
152,22,20,0.909090909
153,16,15,0.9375
154,22,22,1
155,19,19,1
156,22,19,0.863636364
157,22,22,1
158,19,14,0.736842105
159,20,19,0.95
160,23,22,0.956521739
161,22,22,1
162,24,23,0.958333333
163,23,21,0.913043478
164,24,9,0.375
165,24,6,0.25
166,21,17,0.80952381
167,21,10,0.476190476
168,25,25,1
169,23,22,0.956521739
170,17,16,0.941176471
171,22,21,0.954545455
172,21,19,0.904761905
173,25,10,0.4
174,18,17,0.944444444
175,22,13,0.590909091
176,24,23,0.958333333
177,23,13,0.565217391
178,23,13,0.565217391
179,25,25,1
180,21,18,0.857142857
181,24,24,1
182,24,17,0.708333333
183,22,21,0.954545455
184,24,12,0.5
185,25,12,0.48
186,24,13,0.541666667
187,18,16,0.888888889
188,19,10,0.526315789
189,24,15,0.625
190,23,23,1
191,22,22,1
192,22,22,1
193,20,20,1
194,24,23,0.958333333
195,24,2,0.083333333
196,21,20,0.952380952
197,21,21,1
198,22,22,1
199,24,23,0.958333333
200,24,17,0.708333333
201,23,23,1
202,22,20,0.909090909
203,19,19,1
204,19,19,1
205,11,11,1
206,19,19,1
207,19,19,1
208,21,21,1
209,22,12,0.545454545
210,20,11,0.55
211,19,18,0.947368421
212,24,24,1
213,15,14,0.933333333
214,23,23,1
215,24,23,0.958333333
216,24,24,1
217,24,22,0.916666667
218,21,20,0.952380952
219,7,6,0.857142857
220,20,20,1
221,19,19,1
222,15,15,1
223,24,24,1
224,21,21,1
225,23,23,1
226,21,21,1
227,23,23,1
228,23,21,0.913043478
229,22,22,1
230,8,2,0.25
231,14,6,0.428571429
232,11,0,0
233,13,3,0.230769231
234,20,3,0.15
235,25,3,0.12
236,13,13,1
237,25,6,0.24
238,12,0,0
239,24,24,1
240,24,24,1
241,21,4,0.19047619
242,13,13,1
243,20,12,0.6
244,20,11,0.55
245,21,19,0.904761905
246,21,20,0.952380952
247,8,8,1
248,9,9,1
249,8,8,1
250,17,17,1
251,16,16,1
252,22,22,1
253,17,17,1
254,21,21,1
255,21,18,0.857142857
256,23,17,0.739130435
257,21,5,0.238095238
258,21,20,0.952380952
259,17,14,0.823529412
260,23,23,1
261,23,20,0.869565217
262,25,19,0.76
263,24,20,0.833333333
264,22,18,0.818181818
265,22,14,0.636363636
266,24,21,0.875
267,23,20,0.869565217
268,11,2,0.181818182
269,17,3,0.176470588
270,18,10,0.555555556
271,7,7,1
272,17,8,0.470588235
273,22,22,1
274,20,19,0.95
275,15,6,0.4
276,22,16,0.727272727
277,23,0,0
278,22,12,0.545454545
279,24,6,0.25
280,23,13,0.565217391
281,23,5,0.217391304
282,23,0,0
283,21,3,0.142857143
284,23,0,0
285,23,1,0.043478261
286,23,9,0.391304348
287,23,22,0.956521739
288,10,2,0.2
289,22,22,1
290,24,23,0.958333333
291,22,22,1
292,24,24,1
293,21,19,0.904761905
294,24,22,0.916666667
295,24,20,0.833333333
296,23,22,0.956521739
297,23,23,1
298,22,20,0.909090909
299,24,24,1
300,23,22,0.956521739
301,23,23,1
302,19,18,0.947368421
303,23,23,1
304,23,23,1
305,20,20,1
307,14,14,1
308,23,23,1
309,23,23,1
310,21,21,1
311,21,21,1
312,25,19,0.76
313,19,19,1
314,23,18,0.782608696
315,22,22,1
316,21,21,1
317,23,23,1
318,17,17,1
319,17,16,0.941176471
320,21,21,1
321,24,24,1
322,24,24,1
323,24,20,0.833333333
324,20,15,0.75
325,23,23,1
326,22,22,1
327,23,13,0.565217391
328,18,3,0.166666667
329,23,22,0.956521739
330,25,25,1
331,23,23,1
332,22,13,0.590909091
333,23,21,0.913043478
334,21,21,1
335,24,24,1
336,22,13,0.590909091
337,22,10,0.454545455
338,11,11,1
339,24,24,1
340,24,24,1
341,24,12,0.5
342,21,13,0.619047619
343,11,4,0.363636364
344,22,14,0.636363636
345,20,20,1
346,23,23,1
347,24,24,1
348,23,22,0.956521739
349,25,6,0.24
350,23,7,0.304347826
351,24,12,0.5
352,21,12,0.571428571
353,21,21,1
354,25,10,0.4
355,24,23,0.958333333
356,21,21,1
357,23,23,1
358,21,21,1
359,22,22,1
360,22,22,1
361,22,22,1
362,22,22,1
363,22,22,1
364,20,20,1
365,22,21,0.954545455
366,24,24,1
367,21,21,1
368,23,21,0.913043478
369,22,21,0.954545455
370,13,4,0.307692308
371,20,1,0.05
372,21,17,0.80952381
373,23,16,0.695652174
374,21,9,0.428571429
375,23,23,1
376,22,22,1
377,19,19,1
378,25,24,0.96
379,24,23,0.958333333
