hv001,Relevantpop,improvedwater,
1346,24,24,1
1347,25,18,0.72
1348,21,21,1
1349,25,25,1
1350,25,25,1
1351,24,21,0.875
1352,21,21,1
1353,24,23,0.958333333
1354,22,22,1
1355,22,22,1
1356,22,20,0.909090909
1357,22,22,1
1358,22,19,0.863636364
1359,25,22,0.88
1360,23,23,1
1361,21,21,1
1362,20,20,1
1363,24,24,1
1364,21,21,1
1365,22,21,0.954545455
1366,23,23,1
1367,20,20,1
1368,22,10,0.454545455
1369,25,24,0.96
1370,23,22,0.956521739
1371,25,19,0.76
1372,22,21,0.954545455
1373,25,25,1
1374,21,21,1
1375,24,7,0.291666667
1376,25,24,0.96
1377,25,9,0.36
1378,24,19,0.791666667
1379,24,24,1
1380,23,23,1
1381,25,23,0.92
1382,23,23,1
1383,23,23,1
1384,24,24,1
1385,25,1,0.04
1386,25,24,0.96
1387,22,19,0.863636364
1388,23,16,0.695652174
1389,24,21,0.875
1390,24,23,0.958333333
1391,23,17,0.739130435
1392,24,24,1
1393,24,11,0.458333333
1394,25,20,0.8
1395,25,15,0.6
1396,24,21,0.875
1397,25,21,0.84
1398,25,11,0.44
1399,24,17,0.708333333
1400,24,17,0.708333333
1401,25,25,1
1402,24,19,0.791666667
1403,23,21,0.913043478
1404,21,13,0.619047619
1405,24,19,0.791666667
1406,21,20,0.952380952
1407,22,15,0.681818182
1408,23,2,0.086956522
1409,25,10,0.4
1410,23,14,0.608695652
1411,25,12,0.48
1412,22,20,0.909090909
1413,25,16,0.64
1414,25,25,1
1415,25,21,0.84
1416,23,23,1
1417,25,22,0.88
1418,23,19,0.826086957
1419,23,22,0.956521739
1420,23,20,0.869565217
1421,21,20,0.952380952
1422,24,14,0.583333333
1423,24,17,0.708333333
1424,22,4,0.181818182
1425,23,22,0.956521739
1426,24,18,0.75
1427,24,9,0.375
1428,24,13,0.541666667
1429,21,4,0.19047619
1430,25,14,0.56
1431,25,12,0.48
1432,24,12,0.5
1433,24,11,0.458333333
1434,24,12,0.5
1435,24,23,0.958333333
1436,24,14,0.583333333
1437,23,9,0.391304348
1438,24,16,0.666666667
1439,22,22,1
1440,24,7,0.291666667
1441,25,14,0.56
1442,22,21,0.954545455
1443,21,19,0.904761905
1444,21,21,1
1445,24,22,0.916666667
1446,25,16,0.64
1447,24,18,0.75
1448,22,10,0.454545455
1449,23,9,0.391304348
1450,25,7,0.28
1451,23,17,0.739130435
1452,25,6,0.24
1453,24,16,0.666666667
1454,23,19,0.826086957
1455,24,22,0.916666667
1456,25,25,1
1457,23,23,1
1458,25,25,1
1459,25,25,1
1460,23,23,1
1461,21,21,1
1462,25,25,1
1463,22,22,1
1464,17,17,1
1465,22,22,1
1466,25,25,1
1467,22,22,1
1468,21,21,1
1469,25,25,1
1470,24,23,0.958333333
1471,23,9,0.391304348
1472,24,24,1
1473,24,19,0.791666667
1474,24,24,1
1475,23,20,0.869565217
1476,25,13,0.52
1477,24,10,0.416666667
1478,25,24,0.96
1479,23,20,0.869565217
1480,25,25,1
1481,23,20,0.869565217
1482,24,12,0.5
1483,25,22,0.88
1484,25,24,0.96
1485,25,25,1
1486,25,14,0.56
1487,25,18,0.72
1488,25,4,0.16
1489,24,21,0.875
1490,25,13,0.52
1491,20,19,0.95
1492,24,24,1
1493,21,21,1
1494,20,18,0.9
1495,22,22,1
1496,19,18,0.947368421
1497,22,16,0.727272727
1498,23,16,0.695652174
1499,23,13,0.565217391
1500,24,16,0.666666667
1501,25,14,0.56
1502,20,19,0.95
1503,23,23,1
1504,25,23,0.92
1505,21,7,0.333333333
1506,25,16,0.64
1507,23,11,0.47826087
1508,24,16,0.666666667
1509,24,6,0.25
1510,23,2,0.086956522
1511,24,10,0.416666667
1512,25,25,1
1513,25,25,1
1514,22,22,1
1515,22,15,0.681818182
1516,24,22,0.916666667
1517,25,18,0.72
1518,25,20,0.8
1519,25,14,0.56
1520,23,21,0.913043478
1521,25,21,0.84
1522,22,20,0.909090909
1523,21,3,0.142857143
1524,20,15,0.75
1525,22,8,0.363636364
1526,25,2,0.08
1527,24,10,0.416666667
1528,23,23,1
1529,25,16,0.64
1530,22,15,0.681818182
1531,25,8,0.32
1532,25,11,0.44
1533,25,10,0.4
1534,21,17,0.80952381
1535,22,16,0.727272727
1536,22,20,0.909090909
1537,23,9,0.391304348
1538,25,21,0.84
1539,24,9,0.375
1540,24,3,0.125
1541,21,6,0.285714286
1542,22,8,0.363636364
1543,24,2,0.083333333
1544,20,16,0.8
1545,20,2,0.1
1546,22,22,1
1547,21,21,1
1548,23,23,1
1549,25,13,0.52
1550,23,23,1
1551,22,22,1
1552,25,14,0.56
1553,22,14,0.636363636
1554,22,14,0.636363636
1555,22,22,1
1556,23,23,1
1557,23,23,1
1558,25,19,0.76
1559,24,15,0.625
1560,23,13,0.565217391
1561,23,12,0.52173913
1562,24,8,0.333333333
1563,23,13,0.565217391
1564,23,12,0.52173913
1565,20,18,0.9
1566,22,17,0.772727273
1567,21,12,0.571428571
1568,20,17,0.85
1569,22,19,0.863636364
1570,22,19,0.863636364
1571,23,17,0.739130435
1572,21,13,0.619047619
1573,22,21,0.954545455
1574,25,20,0.8
1575,25,12,0.48
1576,21,18,0.857142857
1577,24,18,0.75
1578,19,16,0.842105263
1579,22,16,0.727272727
1580,24,14,0.583333333
1581,18,14,0.777777778
1582,23,17,0.739130435
1583,24,12,0.5
1584,21,17,0.80952381
1585,18,16,0.888888889
1586,19,18,0.947368421
1587,19,16,0.842105263
1588,25,18,0.72
1589,21,17,0.80952381
1590,23,17,0.739130435
1591,23,15,0.652173913
1592,25,21,0.84
1593,25,20,0.8
1594,24,19,0.791666667
1595,25,20,0.8
1596,24,6,0.25
1597,20,7,0.35
1598,23,11,0.47826087
1599,23,16,0.695652174
1600,23,15,0.652173913
1601,20,17,0.85
1602,23,21,0.913043478
1603,22,20,0.909090909
1604,25,20,0.8
1605,25,22,0.88
1606,24,19,0.791666667
1607,25,23,0.92
1608,24,20,0.833333333
1609,24,19,0.791666667
1610,25,19,0.76
1611,25,22,0.88
1612,25,20,0.8
1613,22,7,0.318181818
1614,25,19,0.76
1615,22,17,0.772727273
1616,22,17,0.772727273
1617,22,19,0.863636364
1618,24,18,0.75
1619,22,5,0.227272727
1620,22,19,0.863636364
1621,23,19,0.826086957
1622,24,18,0.75
1623,25,20,0.8
1624,25,19,0.76
1625,25,20,0.8
1626,24,18,0.75
1627,23,18,0.782608696
1628,25,18,0.72
1629,17,11,0.647058824
1630,21,15,0.714285714
1631,23,17,0.739130435
1632,22,15,0.681818182
1633,25,19,0.76
1634,25,22,0.88
1635,20,20,1
1636,19,19,1
1637,21,21,1
1638,23,23,1
1639,23,23,1
1640,20,20,1
1641,20,20,1
1642,20,20,1
1643,21,21,1
1644,20,20,1
1645,22,22,1
1646,22,22,1
1647,24,24,1
1648,21,21,1
1649,18,18,1
1650,23,23,1
1651,23,23,1
1652,17,17,1
1653,17,17,1
1654,15,15,1
1655,21,21,1
1656,18,18,1
1657,20,20,1
1658,20,20,1
1659,14,14,1
1660,17,17,1
1661,21,21,1
1662,23,23,1
1663,15,15,1
1664,18,18,1
1665,19,19,1
1666,23,23,1
1667,16,16,1
1668,21,21,1
1669,20,20,1
1670,4,4,1
1671,22,22,1
1672,18,18,1
1673,22,22,1
1674,23,23,1
1675,18,18,1
1676,17,17,1
1677,18,18,1
1678,22,22,1
1679,20,20,1
1680,17,17,1
1681,21,21,1
1682,22,22,1
1683,20,20,1
1684,21,21,1
1685,19,19,1
1686,19,19,1
1687,23,23,1
1688,18,18,1
1689,23,23,1
1690,22,22,1
1691,20,20,1
1692,16,16,1
,37911,29134,0.77198092
