Definition,Percentage of women who were first married by exact age 15,,,,,,
Denominator,All women of reproductive age,,,,,,
,,,,,,,
Average,0.064747649,,Weighted natioal estimate,,5.4,StatCompiler,6.5
,,,,,,,
,,,,,,,
,,,,,,,
v001,Womenofreproductiveage,marriedby15,,,,,
101,18,2,0.111111111,,,,
102,20,1,0.05,,,,
103,15,0,0,,,,
104,28,4,0.142857143,,,,
105,26,0,0,,,,
106,17,2,0.117647059,,,,
107,15,1,0.066666667,,,,
108,11,1,0.090909091,,,,
109,18,0,0,,,,
110,20,1,0.05,,,,
111,23,2,0.086956522,,,,
112,21,3,0.142857143,,,,
113,16,3,0.1875,,,,
114,16,1,0.0625,,,,
115,17,2,0.117647059,,,,
116,22,1,0.045454545,,,,
117,21,1,0.047619048,,,,
118,23,1,0.043478261,,,,
119,11,3,0.272727273,,,,
120,23,0,0,,,,
121,18,4,0.222222222,,,,
122,22,2,0.090909091,,,,
123,15,2,0.133333333,,,,
124,22,3,0.136363636,,,,
125,22,2,0.090909091,,,,
126,15,3,0.2,,,,
127,22,4,0.181818182,,,,
128,18,2,0.111111111,,,,
129,19,2,0.105263158,,,,
130,13,5,0.384615385,,,,
131,15,5,0.333333333,,,,
132,17,3,0.176470588,,,,
133,17,4,0.235294118,,,,
134,20,4,0.2,,,,
135,23,3,0.130434783,,,,
136,19,4,0.210526316,,,,
137,21,2,0.095238095,,,,
138,21,4,0.19047619,,,,
139,27,3,0.111111111,,,,
140,15,3,0.2,,,,
141,29,5,0.172413793,,,,
142,14,1,0.071428571,,,,
143,24,1,0.041666667,,,,
144,22,1,0.045454545,,,,
145,21,0,0,,,,
146,30,0,0,,,,
147,38,0,0,,,,
148,27,3,0.111111111,,,,
149,25,1,0.04,,,,
150,15,0,0,,,,
151,25,2,0.08,,,,
152,25,3,0.12,,,,
153,13,1,0.076923077,,,,
154,24,2,0.083333333,,,,
155,14,0,0,,,,
156,11,0,0,,,,
157,35,1,0.028571429,,,,
158,14,1,0.071428571,,,,
159,14,0,0,,,,
160,21,2,0.095238095,,,,
161,21,2,0.095238095,,,,
162,24,5,0.208333333,,,,
163,21,4,0.19047619,,,,
164,18,2,0.111111111,,,,
165,28,4,0.142857143,,,,
166,19,0,0,,,,
167,16,2,0.125,,,,
168,13,1,0.076923077,,,,
169,24,0,0,,,,
170,11,0,0,,,,
171,21,0,0,,,,
172,16,1,0.0625,,,,
173,30,1,0.033333333,,,,
174,14,0,0,,,,
175,25,3,0.12,,,,
176,17,1,0.058823529,,,,
177,12,1,0.083333333,,,,
178,12,1,0.083333333,,,,
179,19,2,0.105263158,,,,
180,11,1,0.090909091,,,,
181,15,0,0,,,,
182,16,1,0.0625,,,,
183,14,2,0.142857143,,,,
184,10,0,0,,,,
185,18,0,0,,,,
186,17,0,0,,,,
187,9,0,0,,,,
188,20,1,0.05,,,,
189,12,1,0.083333333,,,,
190,17,2,0.117647059,,,,
191,13,1,0.076923077,,,,
192,18,0,0,,,,
193,19,1,0.052631579,,,,
194,18,2,0.111111111,,,,
195,13,1,0.076923077,,,,
196,17,0,0,,,,
197,12,0,0,,,,
198,16,0,0,,,,
199,5,1,0.2,,,,
200,19,0,0,,,,
201,16,1,0.0625,,,,
202,19,0,0,,,,
203,13,0,0,,,,
204,11,2,0.181818182,,,,
205,11,1,0.090909091,,,,
206,15,0,0,,,,
207,12,1,0.083333333,,,,
208,17,0,0,,,,
