hv001,primaryage,NARPrimary,
588,11,9,0.818181818
589,24,23,0.958333333
590,23,17,0.739130435
591,10,8,0.8
592,18,18,1
593,15,14,0.933333333
594,10,9,0.9
595,8,7,0.875
596,24,21,0.875
597,13,7,0.538461538
598,11,11,1
599,6,5,0.833333333
600,14,12,0.857142857
601,19,15,0.789473684
602,11,11,1
603,16,15,0.9375
604,14,13,0.928571429
605,21,20,0.952380952
606,15,13,0.866666667
607,8,8,1
608,15,14,0.933333333
609,14,12,0.857142857
610,5,4,0.8
611,12,11,0.916666667
612,5,5,1
613,22,22,1
614,17,13,0.764705882
615,12,11,0.916666667
616,18,16,0.888888889
617,14,14,1
618,23,22,0.956521739
619,9,8,0.888888889
620,10,10,1
621,15,15,1
622,4,3,0.75
623,15,14,0.933333333
624,15,14,0.933333333
625,7,7,1
626,9,9,1
627,14,14,1
628,10,10,1
629,17,14,0.823529412
630,9,8,0.888888889
631,6,6,1
632,10,9,0.9
633,7,5,0.714285714
634,5,5,1
635,15,14,0.933333333
636,13,12,0.923076923
637,8,6,0.75
638,7,4,0.571428571
639,8,5,0.625
640,8,7,0.875
641,14,14,1
642,8,7,0.875
643,5,5,1
644,6,5,0.833333333
645,1,1,1
646,6,4,0.666666667
647,13,12,0.923076923
648,6,6,1
649,10,10,1
650,9,9,1
651,13,12,0.923076923
652,16,14,0.875
653,12,12,1
654,10,9,0.9
655,11,10,0.909090909
656,5,5,1
657,13,13,1
658,9,9,1
659,7,7,1
660,5,5,1
661,8,7,0.875
662,7,6,0.857142857
663,5,3,0.6
664,6,3,0.5
665,8,8,1
666,5,5,1
667,9,6,0.666666667
668,11,11,1
669,8,8,1
670,9,9,1
671,12,8,0.666666667
672,12,12,1
673,6,5,0.833333333
674,7,7,1
675,10,10,1
676,10,10,1
677,6,6,1
678,9,9,1
679,13,12,0.923076923
680,10,10,1
681,15,12,0.8
682,8,7,0.875
683,10,8,0.8
684,6,6,1
685,17,16,0.941176471
686,10,10,1
687,9,9,1
688,7,7,1
689,13,12,0.923076923
690,13,13,1
691,3,3,1
692,16,11,0.6875
693,21,17,0.80952381
694,10,9,0.9
695,18,13,0.722222222
696,23,17,0.739130435
697,10,8,0.8
698,16,16,1
699,10,8,0.8
700,19,17,0.894736842
701,11,10,0.909090909
702,8,7,0.875
703,3,3,1
704,8,7,0.875
705,6,5,0.833333333
706,17,16,0.941176471
707,3,3,1
708,10,10,1
709,16,13,0.8125
710,30,29,0.966666667
711,17,13,0.764705882
712,11,10,0.909090909
713,11,10,0.909090909
714,4,3,0.75
715,6,4,0.666666667
716,15,15,1
717,6,5,0.833333333
718,20,17,0.85
719,6,6,1
720,18,18,1
721,15,14,0.933333333
722,6,5,0.833333333
723,11,8,0.727272727
724,12,8,0.666666667
725,14,14,1
726,16,15,0.9375
727,15,14,0.933333333
728,12,9,0.75
729,8,8,1
730,22,18,0.818181818
731,9,8,0.888888889
732,11,10,0.909090909
733,4,4,1
734,10,8,0.8
735,10,6,0.6
736,20,19,0.95
737,11,10,0.909090909
738,13,12,0.923076923
739,21,15,0.714285714
740,12,10,0.833333333
741,7,7,1
742,12,12,1
743,8,8,1
744,8,8,1
745,18,16,0.888888889
746,2,2,1
747,10,6,0.6
748,12,11,0.916666667
749,7,7,1
750,9,8,0.888888889
751,12,10,0.833333333
752,18,17,0.944444444
753,19,17,0.894736842
754,9,8,0.888888889
755,9,8,0.888888889
756,4,4,1
757,4,3,0.75
758,4,4,1
759,23,19,0.826086957
760,7,7,1
761,10,9,0.9
762,8,7,0.875
763,5,5,1
764,9,9,1
765,21,20,0.952380952
766,8,8,1
767,12,11,0.916666667
768,6,6,1
