hv001,Relevantpop,improvedsanitation,
106,25,9,0.36
107,25,14,0.56
108,25,21,0.84
109,24,11,0.458333333
110,24,19,0.791666667
111,25,16,0.64
112,22,10,0.454545455
113,24,19,0.791666667
114,25,11,0.44
115,25,0,0
116,25,19,0.76
117,25,8,0.32
118,25,23,0.92
119,25,7,0.28
120,25,23,0.92
121,25,8,0.32
122,23,22,0.956521739
123,25,14,0.56
124,25,20,0.8
125,25,8,0.32
126,25,18,0.72
127,25,20,0.8
128,22,16,0.727272727
129,25,11,0.44
130,22,8,0.363636364
131,20,19,0.95
132,25,21,0.84
133,25,7,0.28
134,24,0,0
135,25,9,0.36
136,23,21,0.913043478
137,22,16,0.727272727
138,23,13,0.565217391
139,24,11,0.458333333
140,19,19,1
141,22,13,0.590909091
142,25,17,0.68
143,23,15,0.652173913
144,25,15,0.6
145,25,18,0.72
146,22,18,0.818181818
147,22,13,0.590909091
148,21,21,1
149,25,8,0.32
150,23,22,0.956521739
151,24,11,0.458333333
152,23,17,0.739130435
153,20,7,0.35
154,23,9,0.391304348
155,24,17,0.708333333
156,25,20,0.8
157,21,20,0.952380952
158,21,18,0.857142857
159,22,14,0.636363636
160,23,20,0.869565217
161,24,17,0.708333333
162,20,12,0.6
163,23,17,0.739130435
164,25,12,0.48
165,25,15,0.6
166,23,14,0.608695652
167,24,11,0.458333333
168,25,19,0.76
169,24,12,0.5
170,24,20,0.833333333
171,25,13,0.52
172,25,9,0.36
173,25,15,0.6
174,25,14,0.56
175,23,17,0.739130435
176,25,18,0.72
177,21,21,1
178,24,13,0.541666667
179,24,9,0.375
180,22,10,0.454545455
181,18,16,0.888888889
182,24,9,0.375
183,23,19,0.826086957
184,24,13,0.541666667
185,24,16,0.666666667
186,24,12,0.5
187,22,13,0.590909091
188,23,13,0.565217391
189,22,20,0.909090909
190,21,4,0.19047619
191,22,14,0.636363636
192,25,18,0.72
193,25,16,0.64
194,22,14,0.636363636
195,20,7,0.35
196,14,5,0.357142857
197,25,2,0.08
198,21,8,0.380952381
199,25,7,0.28
200,20,20,1
201,23,23,1
202,23,23,1
203,20,1,0.05
204,21,2,0.095238095
205,22,4,0.181818182
206,17,1,0.058823529
207,17,3,0.176470588
208,21,0,0
209,19,4,0.210526316
210,18,9,0.5
211,22,0,0
212,21,4,0.19047619
213,25,4,0.16
214,25,2,0.08
215,24,7,0.291666667
216,22,7,0.318181818
217,20,20,1
218,21,21,1
219,9,0,0
220,22,8,0.363636364
221,24,24,1
222,21,13,0.619047619
223,21,15,0.714285714
224,23,7,0.304347826
225,21,11,0.523809524
226,22,9,0.409090909
227,23,2,0.086956522
228,25,1,0.04
229,25,6,0.24
230,23,18,0.782608696
231,24,15,0.625
232,23,10,0.434782609
233,21,21,1
234,22,22,1
235,24,23,0.958333333
236,23,22,0.956521739
237,21,21,1
238,23,23,1
239,22,22,1
240,24,24,1
241,22,22,1
242,23,23,1
243,24,24,1
244,23,23,1
245,23,23,1
246,20,20,1
247,24,24,1
248,22,22,1
249,20,20,1
250,24,24,1
251,21,21,1
252,21,21,1
253,23,23,1
254,23,23,1
255,21,20,0.952380952
256,23,22,0.956521739
257,23,23,1
258,23,22,0.956521739
259,23,23,1
260,21,21,1
261,22,22,1
262,23,22,0.956521739
263,21,21,1
264,24,24,1
265,22,22,1
266,23,23,1
267,22,22,1
268,24,24,1
269,21,9,0.428571429
270,25,5,0.2
271,23,7,0.304347826
272,23,8,0.347826087
273,20,9,0.45
274,25,13,0.52
275,23,13,0.565217391
276,25,8,0.32
277,21,5,0.238095238
278,25,5,0.2
279,24,9,0.375
280,24,1,0.041666667
281,25,0,0
282,25,2,0.08
283,22,3,0.136363636
284,22,15,0.681818182
285,18,12,0.666666667
286,23,20,0.869565217
287,17,16,0.941176471
288,21,11,0.523809524
289,21,14,0.666666667
290,24,20,0.833333333
291,21,17,0.80952381
292,23,19,0.826086957
293,22,0,0
294,23,4,0.173913043
295,22,7,0.318181818
296,22,1,0.045454545
297,22,0,0
298,22,8,0.363636364
299,24,13,0.541666667
300,25,0,0
301,23,5,0.217391304
302,20,3,0.15
303,24,19,0.791666667
304,22,18,0.818181818
305,25,25,1
306,25,24,0.96
307,20,18,0.9
