hv001,Relevantpop,improvedsanitation,
1304,24,18,0.75
1305,22,22,1
1306,24,17,0.708333333
1307,23,23,1
1308,24,22,0.916666667
1309,24,21,0.875
1310,22,15,0.681818182
1311,24,18,0.75
1312,24,15,0.625
1313,20,4,0.2
1314,23,7,0.304347826
1315,25,16,0.64
1316,25,23,0.92
1317,23,6,0.260869565
1318,24,17,0.708333333
1319,25,2,0.08
1320,25,16,0.64
1321,25,22,0.88
1322,25,10,0.4
1323,24,20,0.833333333
1324,25,25,1
1325,25,25,1
1326,23,15,0.652173913
1327,24,3,0.125
1328,23,21,0.913043478
1329,25,10,0.4
1330,24,2,0.083333333
1331,25,0,0
1332,20,0,0
1333,22,14,0.636363636
1334,23,19,0.826086957
1335,24,2,0.083333333
1336,25,3,0.12
1337,25,2,0.08
1338,24,18,0.75
1339,25,12,0.48
1340,23,4,0.173913043
1341,25,8,0.32
1342,24,23,0.958333333
1343,25,25,1
1344,22,22,1
1345,22,21,0.954545455
1346,23,23,1
1347,24,24,1
1348,23,10,0.434782609
1349,25,11,0.44
1350,25,22,0.88
1351,25,23,0.92
1352,24,8,0.333333333
1353,25,2,0.08
1354,24,18,0.75
1355,23,20,0.869565217
1356,22,13,0.590909091
1357,24,24,1
1358,23,20,0.869565217
1359,24,22,0.916666667
1360,23,10,0.434782609
1361,24,4,0.166666667
1362,24,18,0.75
1363,22,16,0.727272727
1364,25,15,0.6
1365,24,24,1
1366,24,5,0.208333333
1367,24,15,0.625
1368,23,22,0.956521739
1369,25,12,0.48
1370,23,17,0.739130435
1371,24,9,0.375
1372,23,0,0
1373,23,18,0.782608696
1374,24,16,0.666666667
1375,25,16,0.64
1376,24,1,0.041666667
1377,23,18,0.782608696
1378,24,4,0.166666667
1379,20,19,0.95
1380,21,18,0.857142857
1381,25,12,0.48
1382,25,0,0
1383,21,1,0.047619048
1384,21,6,0.285714286
1385,24,13,0.541666667
1386,20,10,0.5
1387,22,0,0
1388,24,0,0
1389,23,18,0.782608696
1390,24,22,0.916666667
1391,23,22,0.956521739
1392,24,17,0.708333333
1393,21,21,1
1394,25,14,0.56
1395,23,1,0.043478261
1396,21,19,0.904761905
1397,20,17,0.85
1398,20,12,0.6
1399,25,16,0.64
1400,22,15,0.681818182
1401,24,24,1
1402,25,18,0.72
1403,18,12,0.666666667
1404,20,17,0.85
1405,23,21,0.913043478
1406,24,17,0.708333333
1407,23,23,1
1408,23,21,0.913043478
1409,23,19,0.826086957
1410,20,20,1
1411,24,5,0.208333333
1412,22,7,0.318181818
1413,25,25,1
1414,24,24,1
1415,22,22,1
1416,22,12,0.545454545
1417,25,25,1
1418,24,24,1
1419,19,19,1
1420,19,19,1
1421,22,15,0.681818182
1422,23,20,0.869565217
1423,24,17,0.708333333
1424,24,22,0.916666667
1425,23,22,0.956521739
1426,23,23,1
1427,24,15,0.625
1428,23,19,0.826086957
1429,24,21,0.875
1430,22,19,0.863636364
1431,24,22,0.916666667
1432,21,18,0.857142857
1433,25,19,0.76
1434,21,21,1
1435,19,17,0.894736842
1436,23,18,0.782608696
1437,25,22,0.88
1438,23,22,0.956521739
1439,21,21,1
1440,25,24,0.96
1441,23,22,0.956521739
1442,23,18,0.782608696
1443,23,6,0.260869565
1444,22,17,0.772727273
1445,21,3,0.142857143
1446,22,7,0.318181818
1447,23,7,0.304347826
1448,23,3,0.130434783
1449,17,0,0
1450,22,0,0
1451,17,17,1
1452,22,9,0.409090909
1453,22,5,0.227272727
1454,25,2,0.08
1455,25,1,0.04
1456,24,1,0.041666667
1457,22,1,0.045454545
1458,25,6,0.24
1459,22,1,0.045454545
1460,24,8,0.333333333
1461,24,2,0.083333333
1462,22,3,0.136363636
1463,21,13,0.619047619
1464,23,0,0
1465,23,2,0.086956522
1466,24,1,0.041666667
1467,22,2,0.090909091
1468,24,2,0.083333333
1469,23,0,0
1470,24,0,0
1471,20,0,0
1472,21,0,0
1473,25,2,0.08
1474,25,3,0.12
1475,25,12,0.48
1476,22,9,0.409090909
1477,22,2,0.090909091
1478,25,23,0.92
1479,25,15,0.6
1480,23,14,0.608695652
1481,20,13,0.65
1482,24,10,0.416666667
1483,24,6,0.25
1484,25,7,0.28
1485,24,1,0.041666667
1486,22,3,0.136363636
1487,23,5,0.217391304
1488,22,1,0.045454545
1489,24,5,0.208333333
1490,23,0,0
1491,22,2,0.090909091
1492,23,7,0.304347826
1493,24,0,0
1494,22,8,0.363636364
1495,22,8,0.363636364
1496,21,13,0.619047619
1497,21,3,0.142857143
1498,21,6,0.285714286
1499,25,7,0.28
1500,23,5,0.217391304
1501,21,4,0.19047619
1502,23,3,0.130434783
1503,25,25,1
1504,23,19,0.826086957
1505,24,6,0.25
1506,22,14,0.636363636
1507,20,15,0.75
1508,21,5,0.238095238
1509,25,5,0.2
1510,24,3,0.125
1511,24,0,0
1512,24,5,0.208333333
1513,24,3,0.125
1514,24,4,0.166666667
1515,23,6,0.260869565
1516,25,4,0.16
1517,25,5,0.2
1518,22,6,0.272727273
1519,23,7,0.304347826
1520,24,5,0.208333333
1521,20,7,0.35
1522,24,8,0.333333333
1523,25,7,0.28
1524,25,4,0.16
1525,23,2,0.086956522
1526,23,12,0.52173913
1527,23,5,0.217391304
1528,24,13,0.541666667
1529,24,5,0.208333333
1530,24,7,0.291666667
1531,23,0,0
1532,24,10,0.416666667
1533,25,2,0.08
1534,21,9,0.428571429
1535,24,3,0.125
1536,22,5,0.227272727
1537,25,7,0.28
1538,24,4,0.166666667
1539,24,4,0.166666667
1540,24,3,0.125
1541,25,4,0.16
1542,24,3,0.125
1543,24,4,0.166666667
1544,25,22,0.88
1545,24,18,0.75
1546,21,10,0.476190476
1547,24,6,0.25
1548,21,2,0.095238095
1549,25,1,0.04
1550,24,5,0.208333333
1551,23,7,0.304347826
1552,24,0,0
1553,24,9,0.375
1554,24,0,0
1555,22,0,0
1556,20,3,0.15
1557,23,5,0.217391304
1558,20,8,0.4
1559,21,4,0.19047619
1560,22,0,0
1561,21,9,0.428571429
1562,23,5,0.217391304
1563,22,7,0.318181818
1564,23,0,0
1565,20,12,0.6
1566,18,9,0.5
1567,23,2,0.086956522
1568,23,12,0.52173913
1569,25,3,0.12
1570,21,6,0.285714286
1571,24,3,0.125
1572,25,1,0.04
1573,24,0,0
1574,23,1,0.043478261
1575,22,1,0.045454545
1576,20,4,0.2
1577,25,1,0.04
1578,22,0,0
1579,21,2,0.095238095
1580,25,14,0.56
1581,22,18,0.818181818
1582,24,14,0.583333333
1583,21,4,0.19047619
1584,25,4,0.16
1585,22,6,0.272727273
1586,24,7,0.291666667
1587,24,1,0.041666667
1588,23,3,0.130434783
1589,24,3,0.125
1590,22,3,0.136363636
1591,24,1,0.041666667
1592,23,10,0.434782609
1593,25,1,0.04
1594,23,12,0.52173913
1595,25,12,0.48
1596,22,3,0.136363636
1597,21,13,0.619047619
1598,24,11,0.458333333
1599,24,5,0.208333333
1600,25,9,0.36
1601,25,1,0.04
1602,25,6,0.24
1603,22,12,0.545454545
1604,25,11,0.44
1605,24,4,0.166666667
1606,21,1,0.047619048
1607,25,0,0
1608,22,5,0.227272727
1609,23,3,0.130434783
1610,24,2,0.083333333
1611,24,13,0.541666667
1612,24,16,0.666666667
,36430,17522,0.480041419
