hv001,Primaryage,NARPrimary,
266,8,7,0.875
267,11,10,0.909090909
268,13,10,0.769230769
269,28,26,0.928571429
270,24,17,0.708333333
271,35,29,0.828571429
272,29,25,0.862068966
273,19,13,0.684210526
274,25,22,0.88
275,29,22,0.75862069
276,27,24,0.888888889
277,30,21,0.7
278,41,34,0.829268293
279,36,32,0.888888889
280,45,34,0.755555556
281,44,29,0.659090909
282,36,24,0.666666667
283,23,14,0.608695652
284,17,17,1
285,7,6,0.857142857
286,13,13,1
287,7,7,1
288,14,12,0.857142857
289,7,4,0.571428571
290,3,3,1
291,4,4,1
292,24,19,0.791666667
293,28,18,0.642857143
294,31,24,0.774193548
295,18,16,0.888888889
296,30,22,0.733333333
297,24,15,0.625
298,22,19,0.863636364
299,31,24,0.774193548
300,25,9,0.36
301,37,27,0.72972973
302,25,21,0.84
303,19,16,0.842105263
304,4,4,1
305,15,12,0.8
306,7,7,1
307,8,8,1
308,36,27,0.75
309,10,8,0.8
310,44,32,0.727272727
311,39,34,0.871794872
312,45,33,0.733333333
313,46,30,0.652173913
314,33,23,0.696969697
315,9,7,0.777777778
316,35,27,0.771428571
317,44,31,0.704545455
318,41,30,0.731707317
319,24,18,0.75
320,8,6,0.75
321,27,20,0.740740741
322,39,31,0.794871795
323,8,6,0.75
324,14,10,0.714285714
325,11,10,0.909090909
326,6,5,0.833333333
327,13,9,0.692307692
328,25,20,0.8
329,19,16,0.842105263
330,47,33,0.70212766
331,48,34,0.708333333
332,41,32,0.780487805
333,43,31,0.720930233
334,47,40,0.85106383
335,27,20,0.740740741
336,46,8,0.173913043
338,23,20,0.869565217
339,21,11,0.523809524
340,27,14,0.518518519
341,32,24,0.75
342,30,26,0.866666667
343,30,18,0.6
344,33,20,0.606060606
345,28,23,0.821428571
346,33,21,0.636363636
347,26,16,0.615384615
348,24,20,0.833333333
349,23,18,0.782608696
350,23,19,0.826086957
351,6,5,0.833333333
352,19,12,0.631578947
353,40,14,0.35
354,27,14,0.518518519
355,36,27,0.75
356,24,14,0.583333333
357,33,24,0.727272727
358,36,20,0.555555556
359,33,31,0.939393939
360,35,28,0.8
361,35,28,0.8
362,19,10,0.526315789
363,38,25,0.657894737
364,43,31,0.720930233
