v001,childage6to23,mimimumacceptablediet,
873,2,0,0
875,2,0,0
877,3,1,0.333333333
878,3,0,0
879,4,0,0
881,1,0,0
882,3,0,0
883,2,1,0.5
884,1,0,0
885,1,0,0
887,2,0,0
888,2,0,0
890,5,0,0
891,2,0,0
892,4,0,0
893,2,1,0.5
894,3,1,0.333333333
895,2,0,0
896,2,0,0
897,3,0,0
898,1,0,0
899,3,1,0.333333333
900,5,1,0.2
901,2,0,0
902,3,0,0
903,2,1,0.5
904,6,0,0
905,3,1,0.333333333
907,1,1,1
908,4,2,0.5
910,3,1,0.333333333
911,2,1,0.5
912,2,0,0
913,1,0,0
914,2,1,0.5
915,3,0,0
916,1,0,0
917,3,1,0.333333333
918,4,0,0
919,5,3,0.6
920,1,1,1
921,2,0,0
922,3,1,0.333333333
923,3,1,0.333333333
924,1,1,1
925,1,0,0
926,1,0,0
927,3,1,0.333333333
928,2,0,0
929,3,2,0.666666667
930,2,0,0
931,4,1,0.25
933,2,0,0
934,1,1,1
935,1,0,0
936,4,1,0.25
937,6,3,0.5
938,2,0,0
939,3,1,0.333333333
940,2,2,1
941,1,1,1
942,2,2,1
944,2,0,0
945,2,1,0.5
946,2,1,0.5
948,2,1,0.5
949,2,0,0
950,3,0,0
951,1,1,1
952,3,0,0
953,2,1,0.5
954,2,1,0.5
955,4,0,0
957,1,0,0
958,1,0,0
960,2,1,0.5
963,1,0,0
966,1,0,0
967,2,1,0.5
968,2,1,0.5
969,1,0,0
970,2,0,0
971,2,0,0
972,1,0,0
973,3,1,0.333333333
974,2,1,0.5
975,3,2,0.666666667
976,1,1,1
977,1,0,0
979,2,1,0.5
980,1,1,1
981,2,1,0.5
982,3,0,0
984,3,0,0
985,1,0,0
986,6,1,0.166666667
987,1,0,0
988,1,0,0
989,1,0,0
991,3,1,0.333333333
992,2,0,0
993,1,0,0
994,2,2,1
995,1,0,0
996,2,0,0
997,1,0,0
998,1,0,0
999,1,0,0
1000,2,0,0
1002,3,0,0
1003,4,0,0
1004,1,0,0
1006,1,0,0
1009,1,0,0
1010,1,0,0
1011,3,0,0
1012,5,0,0
1013,4,0,0
1014,2,0,0
1015,1,0,0
1016,1,0,0
1017,2,0,0
1018,2,0,0
1019,3,0,0
1020,3,0,0
1022,2,0,0
1023,3,0,0
1024,4,0,0
1025,1,0,0
1026,2,0,0
1027,3,0,0
1028,1,0,0
1030,1,0,0
1031,2,0,0
1032,3,0,0
1034,4,0,0
1035,3,0,0
1036,1,0,0
1037,2,0,0
1038,2,0,0
1039,1,0,0
1040,2,0,0
1041,2,0,0
1042,1,0,0
1043,2,0,0
1044,5,2,0.4
1045,1,0,0
1046,2,1,0.5
1047,1,1,1
1048,1,0,0
1049,3,1,0.333333333
1050,3,2,0.666666667
1051,6,0,0
1052,4,2,0.5
1053,2,1,0.5
1054,5,1,0.2
1055,1,0,0
1058,5,1,0.2
1059,2,2,1
1060,8,2,0.25
1062,1,0,0
1063,3,1,0.333333333
1064,5,1,0.2
1065,5,2,0.4
1067,3,1,0.333333333
1068,5,1,0.2
1069,1,0,0
1070,3,1,0.333333333
1071,4,1,0.25
1072,4,0,0
1073,4,0,0
1074,1,0,0
1075,1,1,1
1076,5,0,0
1077,3,1,0.333333333
1078,3,0,0
1079,2,1,0.5
1080,2,1,0.5
1081,4,0,0
1082,5,1,0.2
1083,3,1,0.333333333
1084,5,1,0.2
1085,4,0,0
1086,3,1,0.333333333
1087,2,0,0
1088,1,0,0
1089,2,1,0.5
1090,2,1,0.5
1091,4,1,0.25
1092,1,0,0
1093,3,0,0
1094,2,0,0
1095,4,2,0.5
1096,2,0,0
1097,6,1,0.166666667
1099,6,0,0
1100,4,0,0
1101,2,0,0
1103,4,0,0
1104,1,0,0
1105,2,2,1
1106,2,0,0
1107,2,2,1
1108,5,2,0.4
1109,1,1,1
1110,1,0,0
1112,1,0,0
1113,1,1,1
1114,1,0,0
1115,1,1,1
1116,1,0,0
1118,2,0,0
1120,2,0,0
1121,1,0,0
1123,2,0,0
1124,1,0,0
1126,1,0,0
1127,2,0,0
1128,3,1,0.333333333
1130,1,0,0
1131,2,0,0
1132,3,0,0
1133,3,0,0
1134,2,1,0.5
1135,2,1,0.5
1136,3,0,0
1137,6,1,0.166666667
1138,1,0,0
1139,4,0,0
1142,2,0,0
1143,1,0,0
1146,2,1,0.5
1148,1,0,0
1149,4,0,0
1150,1,0,0
1151,4,0,0
1152,1,0,0
1153,2,1,0.5
1154,2,2,1
1155,4,0,0
1156,1,0,0
1157,4,0,0
1158,1,0,0
1159,2,0,0
1160,2,1,0.5
1162,3,0,0
1163,2,1,0.5
1164,2,1,0.5
1166,3,0,0
1167,3,1,0.333333333
1168,3,2,0.666666667
1169,2,0,0
1171,5,2,0.4
1172,2,1,0.5
1173,1,0,0
1174,3,0,0
1175,4,0,0
1176,2,0,0
1177,1,1,1
1178,1,0,0
1179,5,2,0.4
1180,1,0,0
1182,1,1,1
1183,1,0,0
1185,2,0,0
1186,1,0,0
1187,3,0,0
1189,3,0,0
1190,1,0,0
1191,1,0,0
1192,1,0,0
1193,1,1,1
1194,2,0,0
1195,4,0,0
1196,1,0,0
1197,3,1,0.333333333
1198,2,0,0
1200,3,1,0.333333333
1201,2,1,0.5
1202,1,0,0
1203,2,0,0
1204,1,0,0
1205,4,1,0.25
1206,1,0,0
1207,1,0,0
1208,3,0,0
1209,2,1,0.5
1210,2,0,0
1212,3,0,0
1213,4,1,0.25
1214,1,1,1
1215,3,1,0.333333333
1216,2,1,0.5
1217,1,0,0
1218,3,1,0.333333333
1219,1,1,1
1220,1,0,0
1221,1,0,0
1222,1,0,0
1223,1,0,0
1224,1,0,0
1225,1,0,0
1227,1,0,0
1229,5,0,0
1230,1,1,1
1231,2,0,0
1232,1,0,0
1233,5,1,0.2
1234,3,0,0
1235,4,1,0.25
1237,3,0,0
1238,2,0,0
1239,5,0,0
1241,2,0,0
1243,3,1,0.333333333
1245,5,1,0.2
1246,5,0,0
1248,3,2,0.666666667
1249,3,0,0
1250,2,1,0.5
1252,1,0,0
1254,1,0,0
1255,1,0,0
1256,2,1,0.5
1257,1,1,1
1258,2,0,0
1259,4,0,0
1260,3,0,0
1261,2,0,0
1262,1,0,0
1263,2,1,0.5
1265,2,0,0
1266,1,0,0
1267,2,0,0
1268,2,1,0.5
1269,3,1,0.333333333
1270,4,1,0.25
1272,2,0,0
1273,3,1,0.333333333
1274,1,0,0
1275,1,0,0
1276,1,1,1
1277,3,1,0.333333333
1278,1,0,0
1279,1,0,0
1280,4,0,0
1281,1,0,0
1283,3,0,0
1284,2,0,0
1285,1,0,0
1286,2,0,0
1290,1,1,1
1292,4,0,0
1294,1,0,0
1295,1,0,0
1296,3,0,0
1297,2,0,0
1298,3,0,0
1299,1,0,0
1300,2,0,0
1301,2,1,0.5
1302,2,0,0
1303,2,1,0.5
1304,1,0,0
1305,2,1,0.5
1307,3,1,0.333333333
1308,1,0,0
1309,3,2,0.666666667
1310,2,0,0
1311,2,0,0
1313,3,0,0
1314,2,1,0.5
1315,2,1,0.5
1316,1,0,0
1317,2,0,0
1319,1,0,0
1320,2,1,0.5
1321,1,0,0
1322,1,1,1
1323,1,0,0
1324,6,2,0.333333333
1325,2,1,0.5
1326,1,0,0
1329,2,1,0.5
1330,1,0,0
1331,2,1,0.5
1332,5,0,0
1333,3,1,0.333333333
1334,6,2,0.333333333
1335,1,0,0
1336,1,0,0
1337,2,1,0.5
1338,1,0,0
1339,3,1,0.333333333
1340,4,1,0.25
1341,2,1,0.5
1342,1,1,1
1343,1,0,0
1345,1,0,0
1346,2,0,0
1347,1,0,0
1348,5,1,0.2
1349,4,0,0
1351,1,0,0
1352,5,1,0.2
1353,4,0,0
1354,3,2,0.666666667
1355,4,0,0
1356,3,0,0
1357,5,0,0
1358,2,1,0.5
1359,2,1,0.5
1360,6,0,0
1361,3,0,0
1362,8,5,0.625
1363,3,2,0.666666667
1364,4,2,0.5
1365,4,0,0
1366,6,0,0
1367,2,1,0.5
1369,1,0,0
1370,1,0,0
1371,3,0,0
1372,4,1,0.25
1373,2,1,0.5
1374,4,1,0.25
1375,5,2,0.4
1376,4,3,0.75
1377,2,1,0.5
1378,6,1,0.166666667
1379,1,1,1
1381,4,0,0
1382,6,1,0.166666667
1383,4,0,0
1384,2,0,0
1386,2,0,0
1387,3,1,0.333333333
1388,6,2,0.333333333
1389,1,0,0
1390,1,0,0
1391,4,4,1
1392,2,1,0.5
1393,1,0,0
1394,5,1,0.2
1395,4,1,0.25
1396,3,1,0.333333333
1398,1,0,0
1399,2,0,0
1400,4,0,0
1402,2,0,0
1403,1,0,0
1407,1,0,0
1408,2,1,0.5
1409,1,0,0
1410,2,0,0
1411,3,1,0.333333333
1412,2,0,0
