hv001,nonflaggedchildren,severelywasted,
1445,8,0,0
1446,9,0,0
1447,8,2,0.25
1448,10,0,0
1449,9,0,0
1450,16,1,0.0625
1451,10,0,0
1452,17,1,0.058823529
1453,9,0,0
1454,11,1,0.090909091
1455,3,0,0
1456,5,0,0
1457,11,3,0.272727273
1458,22,0,0
1459,11,2,0.181818182
1460,9,1,0.111111111
1461,12,1,0.083333333
1462,11,1,0.090909091
1463,8,1,0.125
1464,8,0,0
1465,11,0,0
1466,14,0,0
1467,9,0,0
1468,10,0,0
1469,8,0,0
1470,8,1,0.125
1471,18,0,0
1472,11,0,0
1473,15,0,0
1474,15,2,0.133333333
1475,7,0,0
1476,17,1,0.058823529
1477,8,0,0
1478,16,0,0
1479,15,0,0
1480,1,0,0
1481,8,0,0
1482,11,0,0
1483,19,0,0
1484,15,0,0
1485,15,0,0
1486,11,0,0
1487,10,1,0.1
1488,7,0,0
1489,18,0,0
1490,8,0,0
1491,14,0,0
1492,13,1,0.076923077
1493,7,0,0
1494,9,0,0
1495,8,0,0
1496,9,0,0
1497,18,0,0
1498,9,0,0
1499,11,1,0.090909091
1500,21,1,0.047619048
1501,18,0,0
1502,5,0,0
1503,11,0,0
1504,11,0,0
1505,12,0,0
1506,10,0,0
1507,8,1,0.125
1508,9,0,0
1509,10,1,0.1
1510,14,0,0
1511,18,0,0
1512,20,0,0
1513,14,0,0
1514,11,0,0
1515,9,2,0.222222222
1516,8,0,0
1517,10,0,0
1518,13,0,0
1519,12,0,0
1520,10,0,0
1521,15,0,0
1522,5,0,0
1523,13,0,0
1524,10,0,0
1525,12,0,0
1526,30,0,0
1527,13,0,0
1528,10,0,0
1529,12,0,0
1530,12,0,0
1531,13,0,0
1532,21,0,0
1533,20,0,0
1534,12,0,0
1535,13,1,0.076923077
1536,11,2,0.181818182
1537,26,0,0
1538,18,2,0.111111111
1539,24,0,0
1540,9,0,0
1541,12,0,0
1542,11,1,0.090909091
1543,23,0,0
1544,13,1,0.076923077
1545,18,0,0
1546,11,0,0
1547,11,0,0
1548,12,0,0
1549,15,1,0.066666667
1550,9,0,0
1551,4,0,0
1552,15,2,0.133333333
1553,14,1,0.071428571
1554,13,1,0.076923077
1555,9,0,0
1556,8,0,0
1557,13,1,0.076923077
1558,16,0,0
1559,22,0,0
1560,14,0,0
1561,9,0,0
1562,10,0,0
1563,10,0,0
1564,13,0,0
1565,12,0,0
1566,11,1,0.090909091
1567,11,0,0
1568,14,0,0
1569,8,1,0.125
1570,8,1,0.125
1571,11,0,0
1572,7,2,0.285714286
1573,9,0,0
1574,12,0,0
1575,12,0,0
1576,2,0,0
1577,4,0,0
1578,8,0,0
1579,9,0,0
1580,12,0,0
1581,8,0,0
1582,19,1,0.052631579
1583,12,1,0.083333333
1584,7,0,0
1585,7,0,0
1586,11,0,0
1587,1,0,0
1588,9,0,0
1589,9,0,0
1590,11,1,0.090909091
1591,9,0,0
1592,10,1,0.1
1593,11,1,0.090909091
1594,9,0,0
1595,7,0,0
1596,15,0,0
1597,14,0,0
1598,13,0,0
1599,7,0,0
1600,8,0,0
1601,8,0,0
1602,6,0,0
1603,6,0,0
1604,13,1,0.076923077
1605,5,0,0
1606,8,0,0
1607,6,0,0
1608,4,0,0
1609,6,0,0
1610,10,0,0
1611,14,1,0.071428571
1612,10,0,0
1613,11,0,0
1614,6,0,0
1615,13,0,0
1616,7,0,0
1617,7,0,0
1618,7,0,0
1619,7,0,0
1620,9,0,0
1621,4,0,0
1622,6,0,0
1623,13,0,0
1624,5,0,0
1625,8,0,0
1626,1,0,0
1627,12,1,0.083333333
1628,19,0,0
1629,8,0,0
1630,7,0,0
1631,16,1,0.0625
1632,12,0,0
1633,6,0,0
1634,8,0,0
1635,12,0,0
1636,8,0,0
1637,3,0,0
1638,5,0,0
1639,8,0,0
1640,8,0,0
1641,11,0,0
1642,3,1,0.333333333
1643,4,1,0.25
1644,3,0,0
1645,4,1,0.25
1646,10,0,0
1647,6,0,0
1648,7,0,0
1649,10,0,0
1650,11,1,0.090909091
1651,10,0,0
1652,2,0,0
1653,8,0,0
1654,5,0,0
1655,4,0,0
1656,7,0,0
1657,3,0,0
1658,11,0,0
1659,3,0,0
1660,8,1,0.125
1661,12,1,0.083333333
1662,8,0,0
1663,3,0,0
1664,7,1,0.142857143
1665,2,0,0
1666,8,0,0
1667,12,0,0
1668,6,0,0
1669,4,0,0
1670,1,0,0
1671,8,0,0
1672,2,0,0
1673,6,0,0
1674,10,0,0
1675,9,0,0
1676,8,0,0
1677,8,0,0
1678,5,1,0.2
1679,2,0,0
1680,8,0,0
1681,5,0,0
1682,6,0,0
1683,12,0,0
1684,15,0,0
1685,7,2,0.285714286
1686,3,0,0
1687,0,0,.
1688,9,1,0.111111111
1689,8,0,0
1690,9,0,0
1691,4,0,0
1692,6,0,0
,19649,1411,0.054856569
