hv001,nonflaggedchildren,severelywasted,
187,5,0,0
188,9,0,0
189,13,1,0.076923077
190,6,0,0
191,11,0,0
192,7,0,0
193,11,1,0.090909091
194,11,0,0
195,9,0,0
196,11,0,0
197,7,0,0
198,11,0,0
199,2,0,0
200,9,0,0
201,6,0,0
202,6,0,0
203,4,0,0
204,5,1,0.2
205,4,0,0
206,6,0,0
207,6,0,0
208,5,0,0
209,27,5,0.185185185
210,21,4,0.19047619
211,22,4,0.181818182
212,19,1,0.052631579
213,11,1,0.090909091
214,32,2,0.0625
215,18,3,0.166666667
216,25,4,0.16
217,24,3,0.125
218,9,1,0.111111111
219,5,0,0
220,19,0,0
221,10,0,0
222,11,2,0.181818182
223,11,1,0.090909091
224,24,6,0.25
225,24,3,0.125
226,11,2,0.181818182
227,25,0,0
228,27,7,0.259259259
229,28,4,0.142857143
230,9,5,0.555555556
231,16,0,0
232,7,0,0
233,12,1,0.083333333
234,20,3,0.15
235,19,4,0.210526316
236,5,0,0
237,26,4,0.153846154
238,12,4,0.333333333
239,15,0,0
240,10,3,0.3
241,8,3,0.375
242,10,0,0
243,29,7,0.24137931
244,20,1,0.05
245,27,9,0.333333333
246,33,5,0.151515152
247,10,3,0.3
248,9,3,0.333333333
249,8,1,0.125
250,17,5,0.294117647
251,14,3,0.214285714
252,22,6,0.272727273
253,6,1,0.166666667
254,19,4,0.210526316
255,20,5,0.25
256,25,4,0.16
257,22,2,0.090909091
258,13,1,0.076923077
259,5,0,0
260,14,2,0.142857143
261,31,5,0.161290323
262,32,6,0.1875
263,13,6,0.461538462
264,25,5,0.2
265,13,4,0.307692308
266,23,5,0.217391304
267,27,11,0.407407407
268,11,3,0.272727273
269,14,1,0.071428571
270,19,3,0.157894737
271,4,0,0
272,14,5,0.357142857
273,25,7,0.28
274,23,8,0.347826087
275,24,6,0.25
276,24,7,0.291666667
277,29,7,0.24137931
278,32,9,0.28125
279,27,5,0.185185185
280,22,2,0.090909091
281,27,3,0.111111111
282,28,5,0.178571429
283,30,0,0
284,27,4,0.148148148
285,29,7,0.24137931
286,31,3,0.096774194
287,29,7,0.24137931
288,14,1,0.071428571
289,34,6,0.176470588
290,27,10,0.37037037
291,26,3,0.115384615
292,33,2,0.060606061
293,17,4,0.235294118
294,26,4,0.153846154
295,31,6,0.193548387
296,31,2,0.064516129
297,22,3,0.136363636
298,32,12,0.375
299,18,2,0.111111111
300,48,10,0.208333333
301,25,2,0.08
302,14,1,0.071428571
303,17,4,0.235294118
304,27,6,0.222222222
305,19,4,0.210526316
307,8,1,0.125
308,23,1,0.043478261
309,29,3,0.103448276
310,28,5,0.178571429
311,14,10,0.714285714
312,21,10,0.476190476
313,13,3,0.230769231
314,27,10,0.37037037
315,10,2,0.2
316,9,0,0
317,14,1,0.071428571
318,7,1,0.142857143
319,8,0,0
320,9,1,0.111111111
321,8,0,0
322,21,1,0.047619048
323,17,4,0.235294118
324,16,2,0.125
325,26,6,0.230769231
326,21,6,0.285714286
327,15,1,0.066666667
328,15,2,0.133333333
329,19,1,0.052631579
330,22,1,0.045454545
331,26,4,0.153846154
332,19,3,0.157894737
333,23,1,0.043478261
334,14,1,0.071428571
335,14,0,0
336,25,3,0.12
337,22,3,0.136363636
338,9,3,0.333333333
339,14,8,0.571428571
340,20,4,0.2
341,14,2,0.142857143
342,12,1,0.083333333
343,12,2,0.166666667
344,23,2,0.086956522
345,13,1,0.076923077
346,14,0,0
347,22,4,0.181818182
348,15,0,0
349,18,2,0.111111111
350,14,5,0.357142857
351,23,2,0.086956522
352,8,0,0
