Definition,Percentage of women who were first married by exact age 15,,,,,,
Denominator,All women of reproductive age,,,,,,
,,,,,,,
Average,0.073197001,,Weighted natioal estimate,,,StatCompiler,7
,,,,,,,
,,,,,,,
v001,Womenofreproductiveage,marriedby15,,,,,
110,18,2,0.111111111,,,,
111,21,1,0.047619048,,,,
112,20,0,0,,,,
113,13,0,0,,,,
114,17,0,0,,,,
115,25,0,0,,,,
116,18,0,0,,,,
117,24,1,0.041666667,,,,
118,28,0,0,,,,
119,17,0,0,,,,
120,22,0,0,,,,
121,13,0,0,,,,
122,24,0,0,,,,
123,23,0,0,,,,
124,19,1,0.052631579,,,,
125,17,0,0,,,,
126,18,1,0.055555556,,,,
127,13,1,0.076923077,,,,
128,21,1,0.047619048,,,,
129,18,0,0,,,,
130,7,0,0,,,,
131,16,1,0.0625,,,,
132,17,0,0,,,,
133,21,3,0.142857143,,,,
134,6,1,0.166666667,,,,
135,16,3,0.1875,,,,
136,17,0,0,,,,
137,19,0,0,,,,
138,13,1,0.076923077,,,,
139,23,1,0.043478261,,,,
140,11,0,0,,,,
141,19,0,0,,,,
142,19,0,0,,,,
143,16,1,0.0625,,,,
144,21,0,0,,,,
145,17,0,0,,,,
146,13,0,0,,,,
147,15,0,0,,,,
148,21,2,0.095238095,,,,
149,16,0,0,,,,
150,23,0,0,,,,
151,18,0,0,,,,
152,17,0,0,,,,
153,19,1,0.052631579,,,,
154,17,0,0,,,,
155,13,0,0,,,,
156,22,1,0.045454545,,,,
157,21,0,0,,,,
158,12,0,0,,,,
159,18,1,0.055555556,,,,
160,22,0,0,,,,
161,15,0,0,,,,
162,14,0,0,,,,
163,13,0,0,,,,
164,17,0,0,,,,
165,15,0,0,,,,
166,25,0,0,,,,
167,17,1,0.058823529,,,,
168,16,0,0,,,,
169,18,0,0,,,,
170,13,1,0.076923077,,,,
171,20,1,0.05,,,,
172,16,1,0.0625,,,,
173,19,0,0,,,,
174,18,1,0.055555556,,,,
175,20,0,0,,,,
176,24,1,0.041666667,,,,
177,13,0,0,,,,
178,12,0,0,,,,
179,21,1,0.047619048,,,,
180,17,1,0.058823529,,,,
181,15,2,0.133333333,,,,
182,19,0,0,,,,
183,24,0,0,,,,
184,15,0,0,,,,
185,17,0,0,,,,
186,16,1,0.0625,,,,
187,21,0,0,,,,
188,18,1,0.055555556,,,,
189,19,1,0.052631579,,,,
190,14,0,0,,,,
191,15,0,0,,,,
192,28,1,0.035714286,,,,
193,17,1,0.058823529,,,,
194,23,0,0,,,,
195,17,1,0.058823529,,,,
196,9,0,0,,,,
197,18,0,0,,,,
198,10,2,0.2,,,,
199,30,0,0,,,,
200,21,0,0,,,,
201,30,1,0.033333333,,,,
202,19,0,0,,,,
203,12,1,0.083333333,,,,
204,11,0,0,,,,
205,12,0,0,,,,
206,14,1,0.071428571,,,,
207,11,1,0.090909091,,,,
208,23,0,0,,,,
209,11,0,0,,,,
210,13,0,0,,,,
211,12,0,0,,,,
212,23,0,0,,,,
213,19,0,0,,,,
214,15,0,0,,,,
215,16,0,0,,,,
216,16,0,0,,,,
217,13,1,0.076923077,,,,
218,17,1,0.058823529,,,,
219,6,0,0,,,,
220,16,1,0.0625,,,,
221,32,1,0.03125,,,,
222,17,0,0,,,,
223,10,1,0.1,,,,
224,23,1,0.043478261,,,,
225,18,2,0.111111111,,,,
226,12,1,0.083333333,,,,
227,19,1,0.052631579,,,,
