Average,0.16437998,Weighted national average,,17.57,StatCompiler,17.6
,,,,,,
,,,,,,
,,,,,,
hv001,nonflaggedchildren,stuntedchildren,,,,
1021,12,3,0.25,,,
1022,11,4,0.363636364,,,
1023,5,1,0.2,,,
1024,2,1,0.5,,,
1025,12,1,0.083333333,,,
1026,9,2,0.222222222,,,
1027,16,3,0.1875,,,
1028,20,3,0.15,,,
1029,18,4,0.222222222,,,
1030,10,3,0.3,,,
1031,20,3,0.15,,,
1032,8,1,0.125,,,
1033,15,3,0.2,,,
1034,11,3,0.272727273,,,
1035,9,3,0.333333333,,,
1036,9,0,0,,,
1037,12,1,0.083333333,,,
1038,9,1,0.111111111,,,
1039,6,1,0.166666667,,,
1040,8,1,0.125,,,
1041,12,3,0.25,,,
1042,13,2,0.153846154,,,
1043,11,3,0.272727273,,,
1044,14,3,0.214285714,,,
1045,11,0,0,,,
1046,5,1,0.2,,,
1047,19,5,0.263157895,,,
1048,30,10,0.333333333,,,
1049,15,3,0.2,,,
1050,12,2,0.166666667,,,
1051,6,0,0,,,
1052,22,3,0.136363636,,,
1053,22,9,0.409090909,,,
1054,32,7,0.21875,,,
1055,9,0,0,,,
1056,6,1,0.166666667,,,
1057,8,0,0,,,
1058,10,1,0.1,,,
1059,12,2,0.166666667,,,
1060,6,0,0,,,
1061,5,0,0,,,
1062,11,1,0.090909091,,,
1063,6,0,0,,,
1064,12,2,0.166666667,,,
1065,4,0,0,,,
1066,9,0,0,,,
1067,9,1,0.111111111,,,
1068,0,0,.,,,
1069,8,2,0.25,,,
1070,5,1,0.2,,,
1071,21,4,0.19047619,,,
1072,7,2,0.285714286,,,
1073,8,2,0.25,,,
1074,7,1,0.142857143,,,
1075,11,3,0.272727273,,,
1076,15,1,0.066666667,,,
1077,7,0,0,,,
1078,5,0,0,,,
1079,8,1,0.125,,,
1080,14,3,0.214285714,,,
1081,7,2,0.285714286,,,
1082,6,0,0,,,
1083,8,1,0.125,,,
1084,4,0,0,,,
1085,9,1,0.111111111,,,
1086,9,1,0.111111111,,,
1087,6,0,0,,,
1088,10,0,0,,,
1089,15,5,0.333333333,,,
1090,14,3,0.214285714,,,
1091,11,5,0.454545455,,,
1092,19,5,0.263157895,,,
1093,12,5,0.416666667,,,
1094,10,4,0.4,,,
1095,5,1,0.2,,,
1096,11,3,0.272727273,,,
1097,16,8,0.5,,,
1098,6,0,0,,,
1099,13,5,0.384615385,,,
1100,12,3,0.25,,,
1101,7,3,0.428571429,,,
1102,6,0,0,,,
1103,6,1,0.166666667,,,
1104,9,0,0,,,
1105,14,2,0.142857143,,,
1106,12,0,0,,,
1107,10,0,0,,,
1108,11,1,0.090909091,,,
1109,10,0,0,,,
1110,12,0,0,,,
1111,13,3,0.230769231,,,
1112,12,3,0.25,,,
1113,15,3,0.2,,,
1114,12,2,0.166666667,,,
1115,9,0,0,,,
1116,10,1,0.1,,,
1117,8,1,0.125,,,
1118,6,0,0,,,
1119,7,1,0.142857143,,,
1120,9,1,0.111111111,,,
1121,8,3,0.375,,,
1122,23,5,0.217391304,,,
1123,14,4,0.285714286,,,
1124,8,0,0,,,
1125,8,1,0.125,,,
1126,10,3,0.3,,,
1127,6,0,0,,,
1128,14,1,0.071428571,,,
1129,22,4,0.181818182,,,
1130,22,3,0.136363636,,,
1131,5,0,0,,,
1132,11,1,0.090909091,,,
1133,19,5,0.263157895,,,
1134,14,5,0.357142857,,,
1135,10,0,0,,,
1136,14,0,0,,,
1137,5,1,0.2,,,
1138,10,0,0,,,
1139,7,1,0.142857143,,,
1140,6,0,0,,,
1141,6,0,0,,,
1142,16,7,0.4375,,,
1143,21,7,0.333333333,,,
1144,17,3,0.176470588,,,
1145,16,4,0.25,,,
1146,17,6,0.352941176,,,
1147,31,7,0.225806452,,,
1148,7,2,0.285714286,,,
1149,10,2,0.2,,,
1150,12,5,0.416666667,,,
1151,25,6,0.24,,,
1152,17,3,0.176470588,,,
1153,12,3,0.25,,,
1154,30,2,0.066666667,,,
1155,17,4,0.235294118,,,
1156,19,4,0.210526316,,,
1157,21,1,0.047619048,,,
1158,13,4,0.307692308,,,
1159,14,5,0.357142857,,,
1160,25,7,0.28,,,
1161,22,7,0.318181818,,,
1162,13,1,0.076923077,,,
1163,12,1,0.083333333,,,
1164,24,2,0.083333333,,,
1165,6,0,0,,,
1166,4,0,0,,,
1167,13,2,0.153846154,,,
1168,4,1,0.25,,,
1169,9,3,0.333333333,,,
1170,7,1,0.142857143,,,
1171,5,3,0.6,,,
1172,5,0,0,,,
1173,9,0,0,,,
1174,8,0,0,,,
1175,22,4,0.181818182,,,
1176,6,2,0.333333333,,,
1177,10,1,0.1,,,
1178,11,0,0,,,
1179,8,0,0,,,
1180,9,3,0.333333333,,,
1181,11,1,0.090909091,,,
1182,10,0,0,,,
1183,9,1,0.111111111,,,
1184,5,2,0.4,,,
1185,4,1,0.25,,,
1186,9,0,0,,,
1187,9,0,0,,,
1188,13,0,0,,,
1189,14,2,0.142857143,,,
1190,16,0,0,,,
1191,27,5,0.185185185,,,
1192,28,7,0.25,,,
1193,27,5,0.185185185,,,
1194,14,2,0.142857143,,,
1195,9,1,0.111111111,,,
1196,6,2,0.333333333,,,
1197,10,5,0.5,,,
1198,19,5,0.263157895,,,
1199,10,1,0.1,,,
1200,8,4,0.5,,,
1201,13,0,0,,,
1202,15,2,0.133333333,,,
1203,11,1,0.090909091,,,
1204,6,0,0,,,
1205,5,1,0.2,,,
1206,15,2,0.133333333,,,
1207,4,2,0.5,,,
1208,13,4,0.307692308,,,
1209,12,2,0.166666667,,,
1210,9,2,0.222222222,,,
1211,10,0,0,,,
1212,10,0,0,,,
1213,17,3,0.176470588,,,
1214,15,1,0.066666667,,,
1215,5,0,0,,,
1216,5,0,0,,,
1217,14,3,0.214285714,,,
1218,6,0,0,,,
1219,17,2,0.117647059,,,
1220,6,0,0,,,
1221,10,4,0.4,,,
1222,6,0,0,,,
1223,9,2,0.222222222,,,
1224,1,0,0,,,
1225,8,0,0,,,
1226,12,0,0,,,
1227,15,5,0.333333333,,,
1228,16,7,0.4375,,,
1229,9,1,0.111111111,,,
1230,13,3,0.230769231,,,
1231,16,5,0.3125,,,
1232,12,4,0.333333333,,,
1233,16,3,0.1875,,,
1234,7,3,0.428571429,,,
1235,10,5,0.5,,,
1236,11,0,0,,,
1237,21,4,0.19047619,,,
1238,10,2,0.2,,,
1239,12,1,0.083333333,,,
1240,6,0,0,,,
1241,23,9,0.391304348,,,
1242,7,3,0.428571429,,,
1243,7,1,0.142857143,,,
1244,9,2,0.222222222,,,
1245,8,3,0.375,,,
1246,23,4,0.173913043,,,
1247,11,1,0.090909091,,,
1248,10,0,0,,,
1249,11,4,0.363636364,,,
1250,17,4,0.235294118,,,
1251,10,5,0.5,,,
1252,12,3,0.25,,,
1253,7,0,0,,,
1254,11,2,0.181818182,,,
1255,11,2,0.181818182,,,
1256,7,1,0.142857143,,,
1257,16,4,0.25,,,
1258,17,6,0.352941176,,,
1259,10,1,0.1,,,
1260,18,3,0.166666667,,,
1261,16,3,0.1875,,,
1262,12,1,0.083333333,,,
1263,15,3,0.2,,,
1264,5,1,0.2,,,
1265,20,2,0.1,,,
1266,12,4,0.333333333,,,
1267,14,3,0.214285714,,,
1268,10,3,0.3,,,
1269,8,1,0.125,,,
1270,4,2,0.5,,,
1271,6,2,0.333333333,,,
1272,11,5,0.454545455,,,
1273,4,0,0,,,
1274,10,3,0.3,,,
1275,12,1,0.083333333,,,
1276,9,2,0.222222222,,,
1277,7,3,0.428571429,,,
1278,15,2,0.133333333,,,
1279,6,3,0.5,,,
1280,7,1,0.142857143,,,
1281,8,0,0,,,
1282,14,2,0.142857143,,,
1283,6,0,0,,,
1284,8,0,0,,,
1285,6,0,0,,,
1286,12,0,0,,,
1287,15,3,0.2,,,
1288,13,2,0.153846154,,,
1289,10,0,0,,,
1290,10,1,0.1,,,
1291,4,0,0,,,
1292,13,2,0.153846154,,,
1293,10,1,0.1,,,
1294,10,0,0,,,
1295,8,0,0,,,
1296,19,1,0.052631579,,,
1297,14,1,0.071428571,,,
1298,9,1,0.111111111,,,
1299,10,1,0.1,,,
1300,11,0,0,,,
1301,12,1,0.083333333,,,
1302,15,1,0.066666667,,,
1303,16,2,0.125,,,
1304,17,3,0.176470588,,,
1305,13,4,0.307692308,,,
1306,7,1,0.142857143,,,
1307,13,2,0.153846154,,,
1308,10,0,0,,,
1309,18,3,0.166666667,,,
1310,10,1,0.1,,,
1311,21,2,0.095238095,,,
1312,7,0,0,,,
1313,11,1,0.090909091,,,
1314,7,2,0.285714286,,,
1315,12,0,0,,,
1316,5,1,0.2,,,
1317,10,3,0.3,,,
1318,10,1,0.1,,,
1319,9,2,0.222222222,,,
1320,10,2,0.2,,,
1321,15,2,0.133333333,,,
1322,7,1,0.142857143,,,
1323,11,2,0.181818182,,,
1324,7,3,0.428571429,,,
1325,9,0,0,,,
1326,16,2,0.125,,,
1327,16,7,0.4375,,,
1328,15,2,0.133333333,,,
1329,6,0,0,,,
1330,7,0,0,,,
1331,7,0,0,,,
1332,11,3,0.272727273,,,
1333,11,3,0.272727273,,,
1334,6,2,0.333333333,,,
1335,9,1,0.111111111,,,
1336,15,0,0,,,
1337,15,5,0.333333333,,,
1338,9,2,0.222222222,,,
1339,9,1,0.111111111,,,
1340,11,0,0,,,
1341,19,4,0.210526316,,,
1342,9,1,0.111111111,,,
1343,4,0,0,,,
1344,7,0,0,,,
1345,15,1,0.066666667,,,
1346,17,3,0.176470588,,,
1347,7,2,0.285714286,,,
1348,10,3,0.3,,,
1349,23,8,0.347826087,,,
1350,17,2,0.117647059,,,
1351,13,0,0,,,
1352,9,1,0.111111111,,,
1353,14,2,0.142857143,,,
1354,10,1,0.1,,,
1355,13,1,0.076923077,,,
1356,8,1,0.125,,,
1357,14,1,0.071428571,,,
1358,12,3,0.25,,,
1359,8,4,0.5,,,
1360,14,0,0,,,
1361,4,1,0.25,,,
1362,11,0,0,,,
1363,16,1,0.0625,,,
1364,14,0,0,,,
1365,15,4,0.266666667,,,
1366,7,0,0,,,
1367,8,1,0.125,,,
1368,7,1,0.142857143,,,
1369,18,8,0.444444444,,,
1370,10,2,0.2,,,
1371,17,6,0.352941176,,,
1372,16,5,0.3125,,,
1373,14,3,0.214285714,,,
1374,8,0,0,,,
1375,16,4,0.25,,,
1376,21,3,0.142857143,,,
1377,24,6,0.25,,,
1378,13,1,0.076923077,,,
1379,14,4,0.285714286,,,
1380,14,2,0.142857143,,,
1381,17,4,0.235294118,,,
1382,9,0,0,,,
1383,12,0,0,,,
1384,12,2,0.166666667,,,
1385,13,6,0.461538462,,,
1386,15,1,0.066666667,,,
1387,23,5,0.217391304,,,
1388,20,2,0.1,,,
1389,6,0,0,,,
1390,11,0,0,,,
1391,13,2,0.153846154,,,
1392,10,2,0.2,,,
1393,17,6,0.352941176,,,
1394,16,3,0.1875,,,
1395,12,1,0.083333333,,,
1396,13,5,0.384615385,,,
1397,11,1,0.090909091,,,
1398,13,5,0.384615385,,,
1399,22,1,0.045454545,,,
1400,12,1,0.083333333,,,
1401,12,2,0.166666667,,,
1402,7,0,0,,,
1403,12,2,0.166666667,,,
1404,13,4,0.307692308,,,
1405,9,0,0,,,
1406,10,1,0.1,,,
1407,10,2,0.2,,,
1408,13,1,0.076923077,,,
1409,19,1,0.052631579,,,
1410,15,1,0.066666667,,,
1411,15,3,0.2,,,
1412,23,4,0.173913043,,,
1413,17,2,0.117647059,,,
1414,17,1,0.058823529,,,
1415,20,3,0.15,,,
1416,17,2,0.117647059,,,
1417,12,2,0.166666667,,,
1418,10,1,0.1,,,
1419,8,3,0.375,,,
1420,15,3,0.2,,,
1421,17,3,0.176470588,,,
1422,11,3,0.272727273,,,
1423,11,3,0.272727273,,,
1424,12,0,0,,,
1425,12,1,0.083333333,,,
1426,6,1,0.166666667,,,
1427,12,0,0,,,
1428,14,3,0.214285714,,,
1429,14,2,0.142857143,,,
1430,4,0,0,,,
1431,25,9,0.36,,,
1432,16,8,0.5,,,
1433,9,3,0.333333333,,,
1434,9,1,0.111111111,,,
1435,10,1,0.1,,,
1436,7,1,0.142857143,,,
1437,11,2,0.181818182,,,
1438,8,2,0.25,,,
1439,9,1,0.111111111,,,
1440,9,1,0.111111111,,,
1441,11,2,0.181818182,,,
1442,8,0,0,,,
1443,11,2,0.181818182,,,
1444,11,2,0.181818182,,,
1445,8,1,0.125,,,
1446,9,1,0.111111111,,,
1447,8,3,0.375,,,
1448,10,2,0.2,,,
1449,9,2,0.222222222,,,
1450,16,5,0.3125,,,
1451,10,1,0.1,,,
1452,17,1,0.058823529,,,
1453,9,1,0.111111111,,,
1454,11,3,0.272727273,,,
1455,4,1,0.25,,,
1456,5,1,0.2,,,
1457,11,0,0,,,
1458,22,3,0.136363636,,,
1459,11,0,0,,,
1460,11,1,0.090909091,,,
1461,12,0,0,,,
1462,11,0,0,,,
1463,8,0,0,,,
1464,8,2,0.25,,,
1465,11,1,0.090909091,,,
1466,14,0,0,,,
1467,9,1,0.111111111,,,
1468,10,0,0,,,
1469,8,0,0,,,
1470,8,2,0.25,,,
1471,18,2,0.111111111,,,
1472,11,0,0,,,
1473,15,1,0.066666667,,,
1474,15,5,0.333333333,,,
1475,7,1,0.142857143,,,
1476,18,5,0.277777778,,,
1477,9,0,0,,,
1478,16,0,0,,,
1479,15,0,0,,,
1480,1,0,0,,,
1481,8,0,0,,,
1482,11,1,0.090909091,,,
1483,19,1,0.052631579,,,
1484,16,0,0,,,
1485,16,2,0.125,,,
1486,11,0,0,,,
1487,10,1,0.1,,,
1488,8,1,0.125,,,
1489,18,3,0.166666667,,,
1490,8,0,0,,,
1491,15,2,0.133333333,,,
1492,13,1,0.076923077,,,
1493,7,0,0,,,
1494,9,0,0,,,
1495,8,0,0,,,
1496,9,0,0,,,
1497,18,4,0.222222222,,,
1498,9,0,0,,,
1499,11,2,0.181818182,,,
1500,21,5,0.238095238,,,
1501,18,2,0.111111111,,,
1502,5,1,0.2,,,
1503,11,0,0,,,
1504,11,1,0.090909091,,,
1505,12,3,0.25,,,
1506,10,0,0,,,
1507,8,2,0.25,,,
1508,9,1,0.111111111,,,
1509,10,3,0.3,,,
1510,14,0,0,,,
1511,18,2,0.111111111,,,
1512,20,0,0,,,
1513,14,1,0.071428571,,,
1514,11,1,0.090909091,,,
1515,9,1,0.111111111,,,
1516,8,0,0,,,
1517,10,2,0.2,,,
1518,13,2,0.153846154,,,
1519,12,2,0.166666667,,,
1520,10,0,0,,,
1521,15,0,0,,,
1522,6,0,0,,,
1523,13,3,0.230769231,,,
1524,10,3,0.3,,,
1525,12,2,0.166666667,,,
1526,30,9,0.3,,,
1527,13,4,0.307692308,,,
1528,11,2,0.181818182,,,
1529,12,4,0.333333333,,,
1530,12,2,0.166666667,,,
1531,13,2,0.153846154,,,
1532,21,3,0.142857143,,,
1533,20,5,0.25,,,
1534,12,1,0.083333333,,,
1535,13,1,0.076923077,,,
1536,11,1,0.090909091,,,
1537,26,2,0.076923077,,,
1538,18,0,0,,,
1539,24,5,0.208333333,,,
1540,9,0,0,,,
1541,12,1,0.083333333,,,
1542,11,2,0.181818182,,,
1543,23,6,0.260869565,,,
1544,13,1,0.076923077,,,
1545,19,5,0.263157895,,,
1546,11,0,0,,,
1547,11,0,0,,,
1548,12,0,0,,,
1549,15,0,0,,,
1550,9,1,0.111111111,,,
1551,4,0,0,,,
1552,15,5,0.333333333,,,
1553,14,2,0.142857143,,,
1554,13,2,0.153846154,,,
1555,9,2,0.222222222,,,
1556,8,0,0,,,
1557,14,1,0.071428571,,,
1558,16,3,0.1875,,,
1559,24,5,0.208333333,,,
1560,14,1,0.071428571,,,
1561,9,0,0,,,
1562,10,2,0.2,,,
1563,10,2,0.2,,,
1564,13,3,0.230769231,,,
1565,12,1,0.083333333,,,
1566,11,2,0.181818182,,,
1567,11,2,0.181818182,,,
1568,15,0,0,,,
1569,9,2,0.222222222,,,
1570,8,0,0,,,
1571,11,1,0.090909091,,,
1572,9,2,0.222222222,,,
1573,9,0,0,,,
1574,12,3,0.25,,,
1575,12,3,0.25,,,
1576,2,1,0.5,,,
1577,4,1,0.25,,,
1578,8,1,0.125,,,
1579,9,0,0,,,
1580,12,1,0.083333333,,,
1581,9,0,0,,,
1582,19,3,0.157894737,,,
1583,12,1,0.083333333,,,
1584,7,2,0.285714286,,,
1585,7,0,0,,,
1586,11,0,0,,,
1587,1,0,0,,,
1588,9,2,0.222222222,,,
1589,9,3,0.333333333,,,
1590,11,1,0.090909091,,,
1591,9,2,0.222222222,,,
1592,10,1,0.1,,,
1593,11,0,0,,,
1594,9,2,0.222222222,,,
1595,7,4,0.571428571,,,
1596,15,5,0.333333333,,,
1597,14,3,0.214285714,,,
1598,13,2,0.153846154,,,
1599,7,2,0.285714286,,,
1600,8,2,0.25,,,
1601,8,1,0.125,,,
1602,6,0,0,,,
1603,6,0,0,,,
1604,13,1,0.076923077,,,
1605,5,0,0,,,
1606,8,1,0.125,,,
1607,6,1,0.166666667,,,
1608,4,1,0.25,,,
1609,6,1,0.166666667,,,
1610,10,0,0,,,
1611,14,3,0.214285714,,,
1612,10,1,0.1,,,
1613,11,0,0,,,
1614,6,0,0,,,
1615,14,3,0.214285714,,,
1616,7,2,0.285714286,,,
1617,7,1,0.142857143,,,
1618,7,2,0.285714286,,,
1619,7,2,0.285714286,,,
1620,9,0,0,,,
1621,4,1,0.25,,,
1622,6,1,0.166666667,,,
1623,13,0,0,,,
1624,5,1,0.2,,,
1625,8,1,0.125,,,
1626,1,0,0,,,
1627,12,2,0.166666667,,,
1628,19,5,0.263157895,,,
1629,9,1,0.111111111,,,
1630,7,0,0,,,
1631,16,5,0.3125,,,
1632,12,1,0.083333333,,,
1633,6,1,0.166666667,,,
1634,8,0,0,,,
1635,12,2,0.166666667,,,
1636,8,1,0.125,,,
1637,3,0,0,,,
1638,5,1,0.2,,,
1639,8,0,0,,,
1640,8,1,0.125,,,
1641,11,1,0.090909091,,,
1642,4,1,0.25,,,
1643,6,3,0.5,,,
1644,3,0,0,,,
1645,4,1,0.25,,,
1646,11,0,0,,,
1647,6,1,0.166666667,,,
1648,8,2,0.25,,,
1649,10,1,0.1,,,
1650,11,2,0.181818182,,,
1651,10,0,0,,,
1652,2,0,0,,,
1653,8,1,0.125,,,
1654,5,0,0,,,
1655,4,2,0.5,,,
1656,7,2,0.285714286,,,
1657,3,1,0.333333333,,,
1658,11,0,0,,,
1659,3,0,0,,,
1660,8,2,0.25,,,
1661,13,0,0,,,
1662,8,1,0.125,,,
1663,3,0,0,,,
1664,7,0,0,,,
1665,2,0,0,,,
1666,8,1,0.125,,,
1667,12,4,0.333333333,,,
1668,6,0,0,,,
1669,4,1,0.25,,,
1670,1,0,0,,,
1671,8,1,0.125,,,
1672,2,0,0,,,
1673,6,1,0.166666667,,,
1674,10,1,0.1,,,
1675,9,1,0.111111111,,,
1676,8,1,0.125,,,
1677,8,2,0.25,,,
1678,5,1,0.2,,,
1679,2,0,0,,,
1680,8,1,0.125,,,
1681,6,2,0.333333333,,,
1682,6,0,0,,,
1683,12,1,0.083333333,,,
1684,15,2,0.133333333,,,
1685,7,0,0,,,
1686,3,0,0,,,
1687,0,0,.,,,
1688,9,0,0,,,
1689,8,2,0.25,,,
1690,10,1,0.1,,,
1691,4,0,0,,,
1692,6,0,0,,,
,19853,3616,0.16437998,,,
