Average,0.16437998,Weighted national average,,17.57,StatCompiler,17.6
,,,,,,
,,,,,,
,,,,,,
hv001,nonflaggedchildren,stuntedchildren,,,,
115,22,5,0.227272727,,,
116,18,5,0.277777778,,,
117,19,8,0.421052632,,,
118,20,0,0,,,
119,14,2,0.142857143,,,
120,17,5,0.294117647,,,
121,24,4,0.166666667,,,
122,25,2,0.08,,,
123,22,1,0.045454545,,,
124,23,6,0.260869565,,,
125,29,7,0.24137931,,,
126,12,2,0.166666667,,,
127,23,7,0.304347826,,,
128,11,3,0.272727273,,,
129,15,5,0.333333333,,,
130,9,0,0,,,
131,19,6,0.315789474,,,
132,21,8,0.380952381,,,
133,18,2,0.111111111,,,
134,23,3,0.130434783,,,
135,30,5,0.166666667,,,
136,34,12,0.352941176,,,
137,23,5,0.217391304,,,
138,14,3,0.214285714,,,
139,17,1,0.058823529,,,
140,5,0,0,,,
141,16,7,0.4375,,,
142,6,0,0,,,
143,26,3,0.115384615,,,
144,18,3,0.166666667,,,
145,16,5,0.3125,,,
146,13,2,0.153846154,,,
147,23,8,0.347826087,,,
148,15,3,0.2,,,
149,19,2,0.105263158,,,
150,9,0,0,,,
151,15,2,0.133333333,,,
152,12,2,0.166666667,,,
153,6,0,0,,,
154,12,0,0,,,
155,7,0,0,,,
156,7,2,0.285714286,,,
157,12,0,0,,,
158,9,2,0.222222222,,,
159,12,2,0.166666667,,,
160,13,5,0.384615385,,,
161,16,4,0.25,,,
162,27,1,0.037037037,,,
163,9,0,0,,,
164,8,1,0.125,,,
165,22,8,0.363636364,,,
166,9,0,0,,,
167,13,2,0.153846154,,,
168,7,1,0.142857143,,,
169,11,0,0,,,
170,1,0,0,,,
171,16,1,0.0625,,,
172,15,1,0.066666667,,,
173,14,3,0.214285714,,,
174,11,2,0.181818182,,,
175,27,12,0.444444444,,,
176,10,4,0.4,,,
177,7,1,0.142857143,,,
178,9,3,0.333333333,,,
179,9,0,0,,,
180,13,5,0.384615385,,,
181,9,1,0.111111111,,,
182,9,2,0.222222222,,,
183,11,5,0.454545455,,,
184,3,1,0.333333333,,,
185,13,0,0,,,
186,11,0,0,,,
187,5,0,0,,,
188,9,3,0.333333333,,,
189,13,3,0.230769231,,,
190,6,3,0.5,,,
191,11,1,0.090909091,,,
192,7,0,0,,,
193,11,0,0,,,
194,11,4,0.363636364,,,
195,9,4,0.444444444,,,
196,11,2,0.181818182,,,
197,7,0,0,,,
198,11,1,0.090909091,,,
199,2,1,0.5,,,
200,9,1,0.111111111,,,
201,6,1,0.166666667,,,
202,6,1,0.166666667,,,
203,4,1,0.25,,,
204,6,1,0.166666667,,,
205,4,0,0,,,
206,6,2,0.333333333,,,
207,6,0,0,,,
208,5,0,0,,,
209,27,4,0.148148148,,,
210,21,1,0.047619048,,,
211,22,1,0.045454545,,,
212,19,1,0.052631579,,,
213,13,1,0.076923077,,,
214,32,3,0.09375,,,
215,18,1,0.055555556,,,
216,25,1,0.04,,,
217,25,6,0.24,,,
218,9,0,0,,,
219,5,0,0,,,
220,19,2,0.105263158,,,
221,10,0,0,,,
222,11,0,0,,,
223,11,2,0.181818182,,,
224,24,0,0,,,
225,24,3,0.125,,,
226,11,1,0.090909091,,,
227,25,1,0.04,,,
228,27,3,0.111111111,,,
229,28,3,0.107142857,,,
