DHSID,DHSCC,DHSYEAR,DHSCLUST,CCFIPS,ADM1FIPS,ADM1FIPSNA,ADM1SALBNA,ADM1SALBCO,ADM1DHS,ADM1NAME,DHSREGCO,DHSREGNA,SOURCE,URBAN_RURA,LATNUM,LONGNUM,ALT_GPS,ALT_DEM,DATUM,built_volume,distance_coastline,distance_conflict,distance_cultivated,distance_protected,distance_roads,distance_water,elevation,nighttime_lights,precipitation,slope,temperature,travel_time_health,travel_time_urban,traveltime_urban,water_dist
KE201400000840,KE,2014,840,KE,NULL,NULL,NULL,NULL,82,Kisumu,8,Nyanza,CEN,U,-0.088524,34.801769,9999,1154,WGS84,7759.82866679726,667.4596977339119,5.674126442522566,-0.4109392910150949,548.92491613551,0.03986659829786143,0.8749764489127699,1159.439865696841,0.8258408909223014,0.002694100141525269,0.3401125381720722,289.1558532714843,1.6892411323550618,1.1169207752376737,1.1169207752376737,0.8749764489127699
KE201400000841,KE,2014,841,KE,NULL,NULL,NULL,NULL,82,Kisumu,8,Nyanza,CEN,U,-0.124193,34.759039,9999,1153,WGS84,9249.402223758578,669.9862381429365,2.1760147102696537,0.11044601948430119,548.56411611282,0.1426084696170287,0.5664380160142913,1145.7715886897963,1.3064027500281943,0.0028422662931470214,0.8052593323810983,289.2451155848627,2.7581173590008206,2.1338413036251818,2.1338413036251818,0.5664380160142913
KE201400000842,KE,2014,842,KE,NULL,NULL,NULL,NULL,82,Kisumu,8,Nyanza,CEN,U,-0.102448,34.762477,9999,1149,WGS84,18735.248627643377,670.69901305969,1.5810163260638832,0.49593766613032697,550.2729947948449,0.03136720286565127,0.8946634197686437,1160.9526624482846,4.174429174367223,0.0027676724671101874,1.6014655284442407,289.20017672802584,0.30736876328417884,0,0,0.8946634197686437
KE201400000843,KE,2014,843,KE,NULL,NULL,NULL,NULL,82,Kisumu,8,Nyanza,CEN,U,-0.120058,34.787618,9999,1146,WGS84,8216.828253371337,667.3280891193272,4.166606999559531,-0.16722725397612445,547.034272797051,0.06803137652357799,0.5467783152086154,1143.5153414431027,0.6373795508536951,0.0026941001415252686,0.2573940392737712,289.15585327148443,1.5566778521481777,0.5635658522203486,0.5635658522203486,0.5467783152086154
KE201400000844,KE,2014,844,KE,NULL,NULL,NULL,NULL,82,Kisumu,8,Nyanza,CEN,U,-0.066797,34.700391,9999,1194,WGS84,1883.2681054829038,678.6420798162826,7.343534934534605,-1.3088112901444444,557.5834840934148,0.10229049568585774,2.079871075570029,1232.882905800853,0.5443419775109165,0.003510285154015477,4.980935613208474,289.5883146238959,1.573722618169315,3.7407059350634215,3.7407059350634215,2.079871075570029
KE201400000845,KE,2014,845,KE,NULL,NULL,NULL,NULL,82,Kisumu,8,Nyanza,CEN,U,-0.080882,34.745286,9999,1145,WGS84,5946.852481561891,673.4698765211515,2.962028734471832,-0.312357300514135,553.3379756517483,0.11795206625714746,0.8275081763610789,1156.5672904637288,2.397137865141949,0.0032044387879759527,1.7346479009080755,289.46330546410684,1.0172977286198626,0.17484754522095108,0.17484754522095108,0.8275081763610789
KE201400000846,KE,2014,846,KE,NULL,NULL,NULL,NULL,82,Kisumu,8,Nyanza,CEN,U,-0.06273,34.763563,9999,1190,WGS84,3346.1824315636813,672.53934175244,4.817061909422806,-0.8865019204293306,553.7508832345368,0.05994448317304861,1.817781854860833,1239.2839812397574,1.189793679056648,0.002924900980239386,4.817774385780026,289.06500339925446,1.2999122776160779,0.3761615047499732,0.3761615047499732,1.817781854860833
KE201400000847,KE,2014,847,KE,NULL,NULL,NULL,NULL,82,Kisumu,8,Nyanza,CEN,U,-0.031037,34.684937,9999,1359,WGS84,856.2707209058432,681.9383054020988,8.581190228699587,-4.466825594356234,561.7946441112566,0.09863388109706682,0.5400325657596309,1383.6737015690207,0.02276769607427793,0.005044936202466489,2.21465267882525,288.6650085449219,3.6109014612609114,10.545402421579361,10.545402421579361,0.5400325657596309
KE201400000848,KE,2014,848,KE,NULL,NULL,NULL,NULL,82,Kisumu,8,Nyanza,CEN,U,-0.053412,34.776637,9999,1231,WGS84,4503.585615070295,671.6984513785522,6.231719724217604,-0.8506480640666156,553.7259972060817,0.03941193795818891,1.5211710959325833,1255.1053834951326,1.0525966583523647,0.003314262733831714,4.54187639557162,288.7256806764307,0.9166359778551837,0.46324092218758534,0.46324092218758534,1.5211710959325833
KE201400000849,KE,2014,849,KE,NULL,NULL,NULL,NULL,82,Kisumu,8,Nyanza,CEN,R,-0.232065,34.815707,9999,1140,WGS84,257.79576145005564,659.143874081208,11.292489465963712,0.768925264424089,535.1953655427446,1.201261800477569,0.5061988257206692,1135.5842602225391,0,0.0031930990479392854,0.13377125332462989,289.1477086152831,14.810039190412345,27.470251878326813,27.470251878326813,0.5061988257206692
